X T Z
-9.42478 -5 0.00422083
-9.37765 -5 0.00441423
-9.33053 -5 0.00461651
-9.28341 -5 0.00482806
-9.23628 -5 0.00504933
-9.18916 -5 0.00528074
-9.14203 -5 0.00552278
-9.09491 -5 0.00577593
-9.04779 -5 0.00604069
-9.00066 -5 0.00631761
-8.95354 -5 0.00660725
-8.90642 -5 0.00691018
-8.85929 -5 0.00722702
-8.81217 -5 0.00755842
-8.76504 -5 0.00790503
-8.71792 -5 0.00826757
-8.6708 -5 0.00864677
-8.62367 -5 0.00904338
-8.57655 -5 0.00945823
-8.52942 -5 0.00989214
-8.4823 -5 0.010346
-8.43518 -5 0.0108207
-8.38805 -5 0.0113173
-8.34093 -5 0.0118366
-8.2938 -5 0.0123799
-8.24668 -5 0.0129481
-8.19956 -5 0.0135425
-8.15243 -5 0.0141643
-8.10531 -5 0.0148146
-8.05819 -5 0.0154949
-8.01106 -5 0.0162064
-7.96394 -5 0.0169508
-7.91681 -5 0.0177294
-7.86969 -5 0.0185438
-7.82257 -5 0.0193958
-7.77544 -5 0.0202869
-7.72832 -5 0.0212192
-7.68119 -5 0.0221944
-7.63407 -5 0.0232145
-7.58695 -5 0.0242816
-7.53982 -5 0.0253978
-7.4927 -5 0.0265656
-7.44557 -5 0.0277871
-7.39845 -5 0.029065
-7.35133 -5 0.0304017
-7.3042 -5 0.0318001
-7.25708 -5 0.033263
-7.20996 -5 0.0347933
-7.16283 -5 0.0363942
-7.11571 -5 0.0380689
-7.06858 -5 0.0398209
-7.02146 -5 0.0416536
-6.97434 -5 0.0435709
-6.92721 -5 0.0455765
-6.88009 -5 0.0476746
-6.83296 -5 0.0498695
-6.78584 -5 0.0521656
-6.73872 -5 0.0545675
-6.69159 -5 0.0570801
-6.64447 -5 0.0597084
-6.59734 -5 0.0624579
-6.55022 -5 0.0653339
-6.5031 -5 0.0683424
-6.45597 -5 0.0714893
-6.40885 -5 0.074781
-6.36173 -5 0.0782239
-6.3146 -5 0.0818251
-6.26748 -5 0.0855916
-6.22035 -5 0.0895309
-6.17323 -5 0.0936508
-6.12611 -5 0.0979593
-6.07898 -5 0.102465
-6.03186 -5 0.107176
-5.98473 -5 0.112103
-5.93761 -5 0.117254
-5.89049 -5 0.122639
-5.84336 -5 0.128269
-5.79624 -5 0.134153
-5.74911 -5 0.140304
-5.70199 -5 0.146732
-5.65487 -5 0.153448
-5.60774 -5 0.160466
-5.56062 -5 0.167797
-5.5135 -5 0.175455
-5.46637 -5 0.183451
-5.41925 -5 0.1918
-5.37212 -5 0.200515
-5.325 -5 0.209609
-5.27788 -5 0.219098
-5.23075 -5 0.228995
-5.18363 -5 0.239314
