X T Z
-9.42478 -5 0
-9.37765 -5 0
-9.33053 -5 0
-9.28341 -5 0
-9.23628 -5 0
-9.18916 -5 0
-9.14203 -5 0
-9.09491 -5 0
-9.04779 -5 0
-9.00066 -5 0
-8.95354 -5 0
-8.90642 -5 0
-8.85929 -5 0
-8.81217 -5 0
-8.76504 -5 0
-8.71792 -5 0
-8.6708 -5 0
-8.62367 -5 0
-8.57655 -5 0
-8.52942 -5 0
-8.4823 -5 0
-8.43518 -5 0
-8.38805 -5 0
-8.34093 -5 0
-8.2938 -5 0
-8.24668 -5 0
-8.19956 -5 0
-8.15243 -5 0
-8.10531 -5 0
-8.05819 -5 0
-8.01106 -5 0
-7.96394 -5 0
-7.91681 -5 0
-7.86969 -5 0
-7.82257 -5 0
-7.77544 -5 0
-7.72832 -5 0
-7.68119 -5 0
-7.63407 -5 0
-7.58695 -5 0
-7.53982 -5 0
-7.4927 -5 0
-7.44557 -5 0
-7.39845 -5 0
-7.35133 -5 0
-7.3042 -5 0
-7.25708 -5 0
-7.20996 -5 0
-7.16283 -5 0
-7.11571 -5 0
-7.06858 -5 0
-7.02146 -5 0
-6.97434 -5 0
-6.92721 -5 0
-6.88009 -5 0
-6.83296 -5 0
-6.78584 -5 0
-6.73872 -5 0
-6.69159 -5 0
-6.64447 -5 0
-6.59734 -5 0
-6.55022 -5 0
-6.5031 -5 0
-6.45597 -5 0
-6.40885 -5 0
-6.36173 -5 0
-6.3146 -5 0
-6.26748 -5 0
-6.22035 -5 0
-6.17323 -5 0
-6.12611 -5 0
-6.07898 -5 0
-6.03186 -5 0
-5.98473 -5 0
-5.93761 -5 0
-5.89049 -5 0
-5.84336 -5 0
-5.79624 -5 0
-5.74911 -5 0
-5.70199 -5 0
-5.65487 -5 0
-5.60774 -5 0
-5.56062 -5 0
-5.5135 -5 0
-5.46637 -5 0
-5.41925 -5 0
-5.37212 -5 0
-5.325 -5 0
-5.27788 -5 0
-5.23075 -5 0
-5.18363 -5 0
-5.1365 -5 0
-5.08938 -5 0
-5.04226 -5 0
-4.99513 -5 0
-4.94801 -5 0
-4.90088 -5 0
-4.85376 -5 0
-4.80664 -5 0
-4.75951 -5 0
-4.71239 -5 0
-4.66527 -5 0
-4.61814 -5 0
-4.57102 -5 0
-4.52389 -5 0
-4.47677 -5 0
-4.42965 -5 0
-4.38252 -5 0
-4.3354 -5 0
-4.28827 -5 0
-4.24115 -5 0
-4.19403 -5 0
-4.1469 -5 0
-4.09978 -5 0
-4.05265 -5 0
-4.00553 -5 0
-3.95841 -5 0
-3.91128 -5 0
-3.86416 -5 0
-3.81704 -5 0
-3.76991 -5 0
-3.72279 -5 0
-3.67566 -5 0
-3.62854 -5 0
-3.58142 -5 0
-3.53429 -5 0
-3.48717 -5 0
-3.44004 -5 0
-3.39292 -5 0
-3.3458 -5 0
-3.29867 -5 0
-3.25155 -5 0
-3.20442 -5 0
-3.1573 -5 0
-3.11018 -5 0
-3.06305 -5 0
-3.01593 -5 0
-2.96881 -5 0
-2.92168 -5 0
-2.87456 -5 0
-2.82743 -5 0
-2.78031 -5 0
-2.73319 -5 0
-2.68606 -5 0
-2.63894 -5 0
-2.59181 -5 0
-2.54469 -5 0
-2.49757 -5 0
-2.45044 -5 0
-2.40332 -5 0
-2.35619 -5 0
-2.30907 -5 0
-2.26195 -5 0
-2.21482 -5 0
-2.1677 -5 0
-2.12058 -5 0
-2.07345 -5 0
-2.02633 -5 0
-1.9792 -5 0
-1.93208 -5 0
-1.88496 -5 0
-1.83783 -5 0
-1.79071 -5 0
-1.74358 -5 0
-1.69646 -5 0
-1.64934 -5 0
-1.60221 -5 0
-1.55509 -5 0
-1.50796 -5 0
-1.46084 -5 0
-1.41372 -5 0
-1.36659 -5 0
-1.31947 -5 0
-1.27235 -5 0
-1.22522 -5 0
-1.1781 -5 0
-1.13097 -5 0
-1.08385 -5 0
-1.03673 -5 0
-0.989602 -5 0
-0.942478 -5 0
-0.895354 -5 0
-0.84823 -5 0
-0.801106 -5 0
-0.753982 -5 0
-0.706858 -5 0
-0.659734 -5 0
-0.612611 -5 0
-0.565487 -5 0
-0.518363 -5 0
-0.471239 -5 0
-0.424115 -5 0
-0.376991 -5 0
-0.329867 -5 0
-0.282743 -5 0
-0.235619 -5 0
-0.188496 -5 0
-0.141372 -5 0
-0.0942478 -5 0
-0.0471239 -5 0
0 -5 0
0.0471239 -5 0
0.0942478 -5 0
0.141372 -5 0
0.188496 -5 0
0.235619 -5 0
0.282743 -5 0
0.329867 -5 0
0.376991 -5 0
0.424115 -5 0
0.471239 -5 0
0.518363 -5 0
0.565487 -5 0
0.612611 -5 0
0.659734 -5 0
0.706858 -5 0
0.753982 -5 0
0.801106 -5 0
0.84823 -5 0
0.895354 -5 0
0.942478 -5 0
0.989602 -5 0
1.03673 -5 0
1.08385 -5 0
1.13097 -5 0
1.1781 -5 0
1.22522 -5 0
1.27235 -5 0
1.31947 -5 0
1.36659 -5 0
1.41372 -5 0
1.46084 -5 0
1.50796 -5 0
1.55509 -5 0
1.60221 -5 0
1.64934 -5 0
1.69646 -5 0
1.74358 -5 0
1.79071 -5 0
1.83783 -5 0
1.88496 -5 0
1.93208 -5 0
1.9792 -5 0
2.02633 -5 0
2.07345 -5 0
2.12058 -5 0
2.1677 -5 0
2.21482 -5 0
2.26195 -5 0
2.30907 -5 0
2.35619 -5 0
2.40332 -5 0
2.45044 -5 0
2.49757 -5 0
2.54469 -5 0
2.59181 -5 0
2.63894 -5 0
2.68606 -5 0
2.73319 -5 0
2.78031 -5 0
2.82743 -5 0
2.87456 -5 0
2.92168 -5 0
2.96881 -5 0
3.01593 -5 0
3.06305 -5 0
3.11018 -5 0
3.1573 -5 0
3.20442 -5 0
3.25155 -5 0
3.29867 -5 0
3.3458 -5 0
3.39292 -5 0
3.44004 -5 0
3.48717 -5 0
3.53429 -5 0
3.58142 -5 0
3.62854 -5 0
3.67566 -5 0
3.72279 -5 0
3.76991 -5 0
3.81704 -5 0
3.86416 -5 0
3.91128 -5 0
3.95841 -5 0
4.00553 -5 0
4.05265 -5 0
4.09978 -5 0
4.1469 -5 0
4.19403 -5 0
4.24115 -5 0
4.28827 -5 0
4.3354 -5 0
4.38252 -5 0
4.42965 -5 0
4.47677 -5 0
4.52389 -5 0
4.57102 -5 0
4.61814 -5 0
4.66527 -5 0
4.71239 -5 0
4.75951 -5 0
4.80664 -5 0
4.85376 -5 0
4.90088 -5 0
4.94801 -5 0
4.99513 -5 0
5.04226 -5 0
5.08938 -5 0
5.1365 -5 0
5.18363 -5 0
5.23075 -5 0
5.27788 -5 0
5.325 -5 0
5.37212 -5 0
5.41925 -5 0
5.46637 -5 0
5.5135 -5 0
5.56062 -5 0
5.60774 -5 0
5.65487 -5 0
5.70199 -5 0
5.74911 -5 0
5.79624 -5 0
5.84336 -5 0
5.89049 -5 0
5.93761 -5 0
5.98473 -5 0
6.03186 -5 0
6.07898 -5 0
6.12611 -5 0
6.17323 -5 0
6.22035 -5 0
6.26748 -5 0
6.3146 -5 0
6.36173 -5 0
6.40885 -5 0
6.45597 -5 0
6.5031 -5 0
6.55022 -5 0
6.59734 -5 0
6.64447 -5 0
6.69159 -5 0
6.73872 -5 0
6.78584 -5 0
6.83296 -5 0
6.88009 -5 0
6.92721 -5 0
6.97434 -5 0
7.02146 -5 0
7.06858 -5 0
7.11571 -5 0
7.16283 -5 0
7.20996 -5 0
7.25708 -5 0
7.3042 -5 0
7.35133 -5 0
7.39845 -5 0
7.44557 -5 0
7.4927 -5 0
7.53982 -5 0
7.58695 -5 0
7.63407 -5 0
7.68119 -5 0
7.72832 -5 0
7.77544 -5 0
7.82257 -5 0
7.86969 -5 0
7.91681 -5 0
7.96394 -5 0
8.01106 -5 0
8.05819 -5 0
8.10531 -5 0
8.15243 -5 0
8.19956 -5 0
8.24668 -5 0
8.2938 -5 0
8.34093 -5 0
8.38805 -5 0
8.43518 -5 0
8.4823 -5 0
8.52942 -5 0
8.57655 -5 0
8.62367 -5 0
8.6708 -5 0
8.71792 -5 0
8.76504 -5 0
8.81217 -5 0
8.85929 -5 0
8.90642 -5 0
8.95354 -5 0
9.00066 -5 0
9.04779 -5 0
9.09491 -5 0
9.14203 -5 0
9.18916 -5 0
9.23628 -5 0
9.28341 -5 0
9.33053 -5 0
9.37765 -5 0
9.42478 -5 0
-9.42478 -4.975 0.000755334
-9.37765 -4.975 0.000559459
-9.33053 -4.975 0.00041438
-9.28341 -4.975 0.000306923
-9.23628 -4.975 0.000227333
-9.18916 -4.975 0.000168381
-9.14203 -4.975 0.000124715
-9.09491 -4.975 9.23715e-05
-9.04779 -4.975 6.84136e-05
