X T Z
-9.42478 -5 -0.00352344
-9.37765 -5 -0.00367816
-9.33053 -5 -0.0038396
-9.28341 -5 -0.00400807
-9.23628 -5 -0.00418385
-9.18916 -5 -0.00436726
-9.14203 -5 -0.00455864
-9.09491 -5 -0.00475831
-9.04779 -5 -0.00496663
-9.00066 -5 -0.00518399
-8.95354 -5 -0.00541075
-8.90642 -5 -0.00564733
-8.85929 -5 -0.00589414
-8.81217 -5 -0.00615162
-8.76504 -5 -0.00642022
-8.71792 -5 -0.00670042
-8.6708 -5 -0.00699272
-8.62367 -5 -0.00729762
-8.57655 -5 -0.00761566
-8.52942 -5 -0.0079474
-8.4823 -5 -0.00829342
-8.43518 -5 -0.00865433
-8.38805 -5 -0.00903076
-8.34093 -5 -0.00942336
-8.2938 -5 -0.00983282
-8.24668 -5 -0.0102599
-8.19956 -5 -0.0107052
-8.15243 -5 -0.0111696
-8.10531 -5 -0.011654
-8.05819 -5 -0.012159
-8.01106 -5 -0.0126857
-7.96394 -5 -0.0132348
-7.91681 -5 -0.0138074
-7.86969 -5 -0.0144045
-7.82257 -5 -0.015027
-7.77544 -5 -0.015676
-7.72832 -5 -0.0163527
-7.68119 -5 -0.0170581
-7.63407 -5 -0.0177936
-7.58695 -5 -0.0185603
-7.53982 -5 -0.0193595
-7.4927 -5 -0.0201926
-7.44557 -5 -0.021061
-7.39845 -5 -0.0219662
-7.35133 -5 -0.0229096
-7.3042 -5 -0.0238929
-7.25708 -5 -0.0249177
-7.20996 -5 -0.0259857
-7.16283 -5 -0.0270987
-7.11571 -5 -0.0282585
-7.06858 -5 -0.0294671
-7.02146 -5 -0.0307264
-6.97434 -5 -0.0320386
-6.92721 -5 -0.0334057
-6.88009 -5 -0.03483
-6.83296 -5 -0.0363138
-6.78584 -5 -0.0378595
-6.73872 -5 -0.0394696
-6.69159 -5 -0.0411468
-6.64447 -5 -0.0428936
-6.59734 -5 -0.0447129
-6.55022 -5 -0.0466075
-6.5031 -5 -0.0485804
-6.45597 -5 -0.0506348
-6.40885 -5 -0.0527738
-6.36173 -5 -0.0550007
-6.3146 -5 -0.0573189
-6.26748 -5 -0.0597321
-6.22035 -5 -0.0622438
-6.17323 -5 -0.0648578
-6.12611 -5 -0.0675779
-6.07898 -5 -0.0704083
-6.03186 -5 -0.073353
-5.98473 -5 -0.0764162
-5.93761 -5 -0.0796023
-5.89049 -5 -0.0829158
-5.84336 -5 -0.0863612
-5.79624 -5 -0.0899432
-5.74911 -5 -0.0936665
-5.70199 -5 -0.0975361
-5.65487 -5 -0.101557
-5.60774 -5 -0.105734
-5.56062 -5 -0.110072
-5.5135 -5 -0.114576
-5.46637 -5 -0.119252
-5.41925 -5 -0.124104
-5.37212 -5 -0.129138
