X T Z
-9.42478 -5 0.00232396
-9.37765 -5 0.00244062
-9.33053 -5 0.00256312
-9.28341 -5 0.00269176
-9.23628 -5 0.00282685
-9.18916 -5 0.00296871
-9.14203 -5 0.00311768
-9.09491 -5 0.00327412
-9.04779 -5 0.00343839
-9.00066 -5 0.00361088
-8.95354 -5 0.00379203
-8.90642 -5 0.00398224
-8.85929 -5 0.00418198
-8.81217 -5 0.00439172
-8.76504 -5 0.00461197
-8.71792 -5 0.00484325
-8.6708 -5 0.00508611
-8.62367 -5 0.00534112
-8.57655 -5 0.00560891
-8.52942 -5 0.0058901
-8.4823 -5 0.00618537
-8.43518 -5 0.00649541
-8.38805 -5 0.00682097
-8.34093 -5 0.00716283
-8.2938 -5 0.00752179
-8.24668 -5 0.00789872
-8.19956 -5 0.0082945
-8.15243 -5 0.00871008
-8.10531 -5 0.00914646
-8.05819 -5 0.00960466
-8.01106 -5 0.0100858
-7.96394 -5 0.010591
-7.91681 -5 0.0111214
-7.86969 -5 0.0116784
-7.82257 -5 0.0122632
-7.77544 -5 0.0128772
-7.72832 -5 0.013522
-7.68119 -5 0.0141989
-7.63407 -5 0.0149097
-7.58695 -5 0.015656
-7.53982 -5 0.0164396
-7.4927 -5 0.0172624
-7.44557 -5 0.0181262
-7.39845 -5 0.0190332
-7.35133 -5 0.0199854
-7.3042 -5 0.0209852
-7.25708 -5 0.0220349
-7.20996 -5 0.023137
-7.16283 -5 0.024294
-7.11571 -5 0.0255088
-7.06858 -5 0.0267842
-7.02146 -5 0.0281231
-6.97434 -5 0.0295288
-6.92721 -5 0.0310045
-6.88009 -5 0.0325537
-6.83296 -5 0.0341801
-6.78584 -5 0.0358874
-6.73872 -5 0.0376797
-6.69159 -5 0.0395611
-6.64447 -5 0.041536
-6.59734 -5 0.043609
-6.55022 -5 0.045785
-6.5031 -5 0.048069
-6.45597 -5 0.0504662
-6.40885 -5 0.0529823
-6.36173 -5 0.0556229
-6.3146 -5 0.0583942
-6.26748 -5 0.0613025
-6.22035 -5 0.0643545
-6.17323 -5 0.067557
-6.12611 -5 0.0709172
-6.07898 -5 0.0744429
-6.03186 -5 0.0781418
-5.98473 -5 0.0820221
-5.93761 -5 0.0860926
-5.89049 -5 0.090362
-5.84336 -5 0.0948398
-5.79624 -5 0.0995355
-5.74911 -5 0.104459
-5.70199 -5 0.109622
-5.65487 -5 0.115033
-5.60774 -5 0.120705
-5.56062 -5 0.12665
-5.5135 -5 0.132878
-5.46637 -5 0.139403
-5.41925 -5 0.146237
-5.37212 -5 0.153393
-5.325 -5 0.160884
-5.27788 -5 0.168725
-5.23075 -5 0.176928
