X T Z
-3.14159 0 0
-3.07938 0 0
-3.01717 0 0
-2.95496 0 0
-2.89275 0 0
-2.83054 0 0
-2.76833 0 0
-2.70612 0 0
-2.64391 0 0
-2.5817 0 0
-2.5195 0 0
-2.45729 0 0
-2.39508 0 0
-2.33287 0 0
-2.27066 0 0
-2.20845 0 0
-2.14624 0 0
-2.08403 0 0
-2.02182 0 0
-1.95961 0 0
-1.8974 0 0
-1.83519 0 0
-1.77298 0 0
-1.71077 0 0
-1.64856 0 0
-1.58635 0 0
-1.52414 0 0
-1.46193 0 0
-1.39972 0 0
-1.33751 0 0
-1.2753 0 0
-1.21309 0 0
-1.15088 0 0
-1.08867 0 0
-1.02646 0 0
-0.964251 0 0
-0.902041 0 0
-0.839832 0 0
-0.777622 0 0
-0.715412 0 0
-0.653202 0 0
-0.590993 0 0
-0.528783 0 0
-0.466573 0 0
-0.404363 0 0
-0.342154 0 0
-0.279944 0 0
-0.217734 0 0
-0.155524 0 0
-0.0933146 0 0
-0.0311049 0 0
0.0311049 0 0
0.0933146 0 0
0.155524 0 0
0.217734 0 0
0.279944 0 0
0.342154 0 0
0.404363 0 0
0.466573 0 0
0.528783 0 0
0.590993 0 0
0.653202 0 0
0.715412 0 0
0.777622 0 0
0.839832 0 0
0.902041 0 0
0.964251 0 0
1.02646 0 0
1.08867 0 0
1.15088 0 0
1.21309 0 0
1.2753 0 0
1.33751 0 0
1.39972 0 0
1.46193 0 0
1.52414 0 0
1.58635 0 0
1.64856 0 0
1.71077 0 0
1.77298 0 0
1.83519 0 0
1.8974 0 0
1.95961 0 0
2.02182 0 0
2.08403 0 0
2.14624 0 0
2.20845 0 0
2.27066 0 0
2.33287 0 0
2.39508 0 0
2.45729 0 0
2.5195 0 0
2.5817 0 0
2.64391 0 0
2.70612 0 0
2.76833 0 0
2.83054 0 0
2.89275 0 0
2.95496 0 0
3.01717 0 0
3.07938 0 0
-3.14159 0.049505 -0.215493
-3.07938 0.049505 -0.216793
-3.01717 0.049505 -0.216964
-2.95496 0.049505 -0.21698
-2.89275 0.049505 -0.21701
-2.83054 0.049505 -0.217048
-2.76833 0.049505 -0.217089
-2.70612 0.049505 -0.217133
-2.64391 0.049505 -0.217181
-2.5817 0.049505 -0.217233
-2.5195 0.049505 -0.217289
-2.45729 0.049505 -0.217349
-2.39508 0.049505 -0.217413
-2.33287 0.049505 -0.217482
-2.27066 0.049505 -0.217555
-2.20845 0.049505 -0.217632
-2.14624 0.049505 -0.217714
-2.08403 0.049505 -0.2178
-2.02182 0.049505 -0.217891
-1.95961 0.049505 -0.217985
-1.8974 0.049505 -0.218084
-1.83519 0.049505 -0.218186
-1.77298 0.049505 -0.218292
-1.71077 0.049505 -0.2184
-1.64856 0.049505 -0.218511
-1.58635 0.049505 -0.218624
-1.52414 0.049505 -0.218739
-1.46193 0.049505 -0.218854
-1.39972 0.049505 -0.218969
-1.33751 0.049505 -0.219084
-1.2753 0.049505 -0.219197
-1.21309 0.049505 -0.219309
-1.15088 0.049505 -0.219418
-1.08867 0.049505 -0.219523
-1.02646 0.049505 -0.219624
-0.964251 0.049505 -0.219721
-0.902041 0.049505 -0.219812
-0.839832 0.049505 -0.219898
-0.777622 0.049505 -0.219979
-0.715412 0.049505 -0.220052
-0.653202 0.049505 -0.22012
-0.590993 0.049505 -0.220181
-0.528783 0.049505 -0.220236
-0.466573 0.049505 -0.220284
-0.404363 0.049505 -0.220326
-0.342154 0.049505 -0.220361
-0.279944 0.049505 -0.22039
-0.217734 0.049505 -0.220413
-0.155524 0.049505 -0.220431
-0.0933146 0.049505 -0.220442
-0.0311049 0.049505 -0.220448
0.0311049 0.049505 -0.220448
0.0933146 0.049505 -0.220442
0.155524 0.049505 -0.220431
0.217734 0.049505 -0.220413
0.279944 0.049505 -0.22039
0.342154 0.049505 -0.220361
0.404363 0.049505 -0.220326
0.466573 0.049505 -0.220284
0.528783 0.049505 -0.220236
0.590993 0.049505 -0.220181
0.653202 0.049505 -0.22012
0.715412 0.049505 -0.220052
0.777622 0.049505 -0.219979
0.839832 0.049505 -0.219898
0.902041 0.049505 -0.219812
0.964251 0.049505 -0.219721
1.02646 0.049505 -0.219624
1.08867 0.049505 -0.219523
1.15088 0.049505 -0.219418
1.21309 0.049505 -0.219309
1.2753 0.049505 -0.219197
1.33751 0.049505 -0.219084
1.39972 0.049505 -0.218969
1.46193 0.049505 -0.218854
1.52414 0.049505 -0.218739
1.58635 0.049505 -0.218624
1.64856 0.049505 -0.218511
1.71077 0.049505 -0.2184
1.77298 0.049505 -0.218292
1.83519 0.049505 -0.218186
1.8974 0.049505 -0.218084
1.95961 0.049505 -0.217985
2.02182 0.049505 -0.217891
2.08403 0.049505 -0.2178
2.14624 0.049505 -0.217714
2.20845 0.049505 -0.217632
2.27066 0.049505 -0.217555
2.33287 0.049505 -0.217482
2.39508 0.049505 -0.217413
2.45729 0.049505 -0.217349
2.5195 0.049505 -0.217289
2.5817 0.049505 -0.217233
2.64391 0.049505 -0.217181
2.70612 0.049505 -0.217133
2.76833 0.049505 -0.217089
2.83054 0.049505 -0.217048
2.89275 0.049505 -0.21701
2.95496 0.049505 -0.21698
3.01717 0.049505 -0.216964
3.07938 0.049505 -0.216793
-3.14159 0.0990099 -0.43207
-3.07938 0.0990099 -0.433699
-3.01717 0.0990099 -0.434426
-2.95496 0.0990099 -0.434458
-2.89275 0.0990099 -0.434492
-2.83054 0.0990099 -0.434564
-2.76833 0.0990099 -0.434645
-2.70612 0.0990099 -0.434731
-2.64391 0.0990099 -0.434823
-2.5817 0.0990099 -0.434922
-2.5195 0.0990099 -0.435027
-2.45729 0.0990099 -0.435138
-2.39508 0.0990099 -0.435257
-2.33287 0.0990099 -0.435382
-2.27066 0.0990099 -0.435514
-2.20845 0.0990099 -0.435653
-2.14624 0.0990099 -0.435797
-2.08403 0.0990099 -0.435948
-2.02182 0.0990099 -0.436105
-1.95961 0.0990099 -0.436267
-1.8974 0.0990099 -0.436434
-1.83519 0.0990099 -0.436604
-1.77298 0.0990099 -0.436779
-1.71077 0.0990099 -0.436955
-1.64856 0.0990099 -0.437134
-1.58635 0.0990099 -0.437313
-1.52414 0.0990099 -0.437492
-1.46193 0.0990099 -0.43767
-1.39972 0.0990099 -0.437845
-1.33751 0.0990099 -0.438017
-1.2753 0.0990099 -0.438184
-1.21309 0.0990099 -0.438346
-1.15088 0.0990099 -0.438501
-1.08867 0.0990099 -0.438649
-1.02646 0.0990099 -0.438788
-0.964251 0.0990099 -0.438918
-0.902041 0.0990099 -0.439039
-0.839832 0.0990099 -0.43915
-0.777622 0.0990099 -0.439252
-0.715412 0.0990099 -0.439343
-0.653202 0.0990099 -0.439425
-0.590993 0.0990099 -0.439497
-0.528783 0.0990099 -0.43956
-0.466573 0.0990099 -0.439614
-0.404363 0.0990099 -0.43966
-0.342154 0.0990099 -0.439697
-0.279944 0.0990099 -0.439728
-0.217734 0.0990099 -0.439752
-0.155524 0.0990099 -0.43977
-0.0933146 0.0990099 -0.439781
-0.0311049 0.0990099 -0.439787
0.0311049 0.0990099 -0.439787
0.0933146 0.0990099 -0.439781
0.155524 0.0990099 -0.43977
0.217734 0.0990099 -0.439752
0.279944 0.0990099 -0.439728
0.342154 0.0990099 -0.439697
0.404363 0.0990099 -0.43966
0.466573 0.0990099 -0.439614
0.528783 0.0990099 -0.43956
0.590993 0.0990099 -0.439497
0.653202 0.0990099 -0.439425
0.715412 0.0990099 -0.439343
0.777622 0.0990099 -0.439252
0.839832 0.0990099 -0.43915
0.902041 0.0990099 -0.439039
0.964251 0.0990099 -0.438918
1.02646 0.0990099 -0.438788
1.08867 0.0990099 -0.438649
1.15088 0.0990099 -0.438501
1.21309 0.0990099 -0.438346
1.2753 0.0990099 -0.438184
1.33751 0.0990099 -0.438017
1.39972 0.0990099 -0.437845
1.46193 0.0990099 -0.43767
1.52414 0.0990099 -0.437492
1.58635 0.0990099 -0.437313
1.64856 0.0990099 -0.437134
1.71077 0.0990099 -0.436955
1.77298 0.0990099 -0.436779
1.83519 0.0990099 -0.436604
1.8974 0.0990099 -0.436434
1.95961 0.0990099 -0.436267
2.02182 0.0990099 -0.436105
2.08403 0.0990099 -0.435948
2.14624 0.0990099 -0.435797
2.20845 0.0990099 -0.435653
2.27066 0.0990099 -0.435514
2.33287 0.0990099 -0.435382
2.39508 0.0990099 -0.435257
2.45729 0.0990099 -0.435138
2.5195 0.0990099 -0.435027
2.5817 0.0990099 -0.434922
2.64391 0.0990099 -0.434823
2.70612 0.0990099 -0.434731
2.76833 0.0990099 -0.434645
2.83054 0.0990099 -0.434564
2.89275 0.0990099 -0.434492
2.95496 0.0990099 -0.434458
3.01717 0.0990099 -0.434426
3.07938 0.0990099 -0.433699
-3.14159 0.148515 -0.645027
-3.07938 0.148515 -0.645899
-3.01717 0.148515 -0.647393
-2.95496 0.148515 -0.647584
-2.89275 0.148515 -0.647576
-2.83054 0.148515 -0.647662
-2.76833 0.148515 -0.647778
-2.70612 0.148515 -0.647901
-2.64391 0.148515 -0.648029
-2.5817 0.148515 -0.648166
-2.5195 0.148515 -0.64831
-2.45729 0.148515 -0.648462
-2.39508 0.148515 -0.648621
-2.33287 0.148515 -0.648788
-2.27066 0.148515 -0.648961
-2.20845 0.148515 -0.649141
-2.14624 0.148515 -0.649326
-2.08403 0.148515 -0.649517
-2.02182 0.148515 -0.649713
-1.95961 0.148515 -0.649913
-1.8974 0.148515 -0.650115
-1.83519 0.148515 -0.650319
-1.77298 0.148515 -0.650525
-1.71077 0.148515 -0.65073
-1.64856 0.148515 -0.650934
-1.58635 0.148515 -0.651135
-1.52414 0.148515 -0.651333
-1.46193 0.148515 -0.651525
-1.39972 0.148515 -0.651712
-1.33751 0.148515 -0.651891
-1.2753 0.148515 -0.652063
-1.21309 0.148515 -0.652225
-1.15088 0.148515 -0.652377
-1.08867 0.148515 -0.652519
-1.02646 0.148515 -0.65265
-0.964251 0.148515 -0.65277
-0.902041 0.148515 -0.652879
-0.839832 0.148515 -0.652976
-0.777622 0.148515 -0.653063
-0.715412 0.148515 -0.653139
-0.653202 0.148515 -0.653206
-0.590993 0.148515 -0.653263
-0.528783 0.148515 -0.653311
-0.466573 0.148515 -0.653352
-0.404363 0.148515 -0.653386
-0.342154 0.148515 -0.653413
-0.279944 0.148515 -0.653434
-0.217734 0.148515 -0.653451
-0.155524 0.148515 -0.653463
-0.0933146 0.148515 -0.653471
-0.0311049 0.148515 -0.653474
0.0311049 0.148515 -0.653474
0.0933146 0.148515 -0.653471
0.155524 0.148515 -0.653463
0.217734 0.148515 -0.653451
0.279944 0.148515 -0.653434
0.342154 0.148515 -0.653413
0.404363 0.148515 -0.653386
0.466573 0.148515 -0.653352
0.528783 0.148515 -0.653311
0.590993 0.148515 -0.653263
