alpha s value
1 1 2.85463e-20
1 2 0.472708
1 3 6.84932e-07
1 4 6.84932e-07
1 5 0.472708
1 6 2.85463e-20
1 7 5.27895e-231
2 1 1.08005e-20
2 2 0.142041
2 3 1.69024e-07
2 4 1.69024e-07
2 5 0.142041
2 6 1.08005e-20
2 7 1.11283e-232
3 1 6.4689e-21
3 2 0.0657748
3 3 6.35882e-08
3 4 6.35882e-08
3 5 0.0657748
3 6 6.4689e-21
3 7 1.20141e-232
4 1 4.41726e-21
4 2 0.0342257
4 3 2.67438e-08
4 4 2.67438e-08
4 5 0.0342257
4 6 4.41726e-21
4 7 2.07958e-231
5 1 3.21318e-21
5 2 0.0188031
5 3 1.18408e-08
5 4 1.18408e-08
5 5 0.0188031
5 6 3.21318e-21
5 7 -5.57952e-239
6 1 2.42558e-21
6 2 0.0106562
6 3 5.39769e-09
6 4 5.39769e-09
6 5 0.0106562
6 6 2.42558e-21
6 7 8.78928e-233
7 1 1.87583e-21
7 2 0.00616047
7 3 2.50664e-09
7 4 2.50664e-09
7 5 0.00616047
7 6 1.87583e-21
7 7 1.35235e-232
8 1 1.47536e-21
8 2 0.00361045
8 3 1.17887e-09
8 4 1.17887e-09
8 5 0.00361045
8 6 1.47536e-21
8 7 6.15246e-233
9 1 1.1748e-21
9 2 0.00213691
9 3 5.59457e-10
9 4 5.59457e-10
9 5 0.00213691
9 6 1.1748e-21
9 7 4.2148e-232
