X Z
-15 1.31935e-09
-14.97 1.29495e-09
-14.9401 1.22369e-09
-14.9101 1.11134e-09
-14.8801 9.66981e-10
-14.8501 8.02317e-10
-14.8202 6.30783e-10
-14.7902 4.66484e-10
-14.7602 3.23108e-10
-14.7303 2.12868e-10
-14.7003 1.45559e-10
-14.6703 1.2781e-10
-14.6404 1.62579e-10
-14.6104 2.48939e-10
-14.5804 3.82169e-10
-14.5504 5.54131e-10
-14.5205 7.53921e-10
-14.4905 9.68729e-10
-14.4605 1.18484e-09
-14.4306 1.38871e-09
-14.4006 1.56802e-09
-14.3706 1.7126e-09
-14.3407 1.81527e-09
-14.3107 1.87233e-09
-14.2807 1.88387e-09
-14.2507 1.85373e-09
-14.2208 1.78922e-09
-14.1908 1.7005e-09
-14.1608 1.59986e-09
-14.1309 1.50071e-09
-14.1009 1.41657e-09
-14.0709 1.36008e-09
-14.041 1.34202e-09
-14.011 1.37049e-09
-13.981 1.45037e-09
-13.951 1.58296e-09
-13.9211 1.76595e-09
-13.8911 1.99359e-09
-13.8611 2.25723e-09
-13.8312 2.54602e-09
-13.8012 2.84774e-09
-13.7712 3.14979e-09
-13.7413 3.4402e-09
-13.7113 3.70849e-09
-13.6813 3.94657e-09
-13.6513 4.14929e-09
-13.6214 4.31486e-09
-13.5914 4.44497e-09
-13.5614 4.54468e-09
-13.5315 4.62203e-09
-13.5015 4.6874e-09
-13.4715 4.75281e-09
-13.4416 4.83093e-09
-13.4116 4.93426e-09
-13.3816 5.07415e-09
-13.3516 5.26001e-09
-13.3217 5.49869e-09
-13.2917 5.79401e-09
-13.2617 6.14654e-09
-13.2318 6.55367e-09
-13.2018 7.00984e-09
-13.1718 7.5071e-09
-13.1419 8.03572e-09
-13.1119 8.58505e-09
-13.0819 9.14435e-09
-13.0519 9.7037e-09
-13.022 1.02548e-08
-12.992 1.07915e-08
-12.962 1.13107e-08
-12.9321 1.18121e-08
-12.9021 1.22987e-08
-12.8721 1.27765e-08
-12.8422 1.32541e-08
-12.8122 1.37422e-08
-12.7822 1.42526e-08
-12.7522 1.4798e-08
-12.7223 1.53905e-08
-12.6923 1.60412e-08
-12.6623 1.67597e-08
-12.6324 1.75528e-08
-12.6024 1.84251e-08
-12.5724 1.9378e-08
-12.5425 2.04101e-08
-12.5125 2.15177e-08
-12.4825 2.26949e-08
-12.4525 2.39344e-08
-12.4226 2.52281e-08
-12.3926 2.65682e-08
-12.3626 2.79477e-08
-12.3327 2.93611e-08
-12.3027 3.08053e-08
-12.2727 3.22799e-08
-12.2428 3.37875e-08
-12.2128 3.53337e-08
-12.1828 3.6927e-08
-12.1528 3.85785e-08
-12.1229 4.03014e-08
-12.0929 4.21104e-08
-12.0629 4.40206e-08
-12.033 4.60474e-08
-12.003 4.82052e-08
-11.973 5.05069e-08
-11.9431 5.29635e-08
-11.9131 5.5584e-08
-11.8831 5.83745e-08
-11.8531 6.1339e-08
-11.8232 6.44793e-08
-11.7932 6.77956e-08
-11.7632 7.1287e-08
-11.7333 7.49523e-08
-11.7033 7.87909e-08
-11.6733 8.28031e-08
-11.6434 8.69916e-08
-11.6134 9.13615e-08
-11.5834 9.59211e-08
-11.5534 1.00682e-07
-11.5235 1.0566e-07
-11.4935 1.10873e-07
-11.4635 1.16343e-07
-11.4336 1.22096e-07
-11.4036 1.28158e-07
-11.3736 1.34557e-07
-11.3437 1.41322e-07
-11.3137 1.48483e-07
-11.2837 1.56068e-07
-11.2537 1.64106e-07
-11.2238 1.72622e-07
-11.1938 1.81642e-07
-11.1638 1.9119e-07
-11.1339 2.01288e-07
-11.1039 2.1196e-07
-11.0739 2.23229e-07
-11.044 2.35118e-07
-11.014 2.47653e-07
-10.984 2.60863e-07
-10.954 2.74782e-07
-10.9241 2.89445e-07
-10.8941 3.04896e-07
-10.8641 3.21183e-07
-10.8342 3.38359e-07
-10.8042 3.56486e-07
-10.7742 3.75628e-07
-10.7443 3.95858e-07
-10.7143 4.17253e-07
-10.6843 4.39895e-07
-10.6543 4.63871e-07
-10.6244 4.8927e-07
-10.5944 5.16186e-07
-10.5644 5.44715e-07
-10.5345 5.74958e-07
-10.5045 6.07017e-07
-10.4745 6.41e-07
-10.4446 6.77017e-07
-10.4146 7.15183e-07
-10.3846 7.55622e-07
-10.3546 7.98461e-07
-10.3247 8.4384e-07
-10.2947 8.91905e-07
-10.2647 9.42817e-07
-10.2348 9.96746e-07
-10.2048 1.05388e-06
-10.1748 1.11442e-06
-10.1449 1.17858e-06
-10.1149 1.24659e-06
-10.0849 1.31871e-06
-10.0549 1.39521e-06
-10.025 1.47636e-06
-9.995 1.56248e-06
-9.96503 1.65388e-06
-9.93506 1.75092e-06
-9.90509 1.85395e-06
-9.87512 1.96334e-06
-9.84515 2.07951e-06
-9.81518 2.20286e-06
-9.78521 2.33386e-06
-9.75524 2.47296e-06
-9.72527 2.62065e-06
-9.6953 2.77748e-06
-9.66533 2.94398e-06
-9.63536 3.12074e-06
-9.60539 3.30839e-06
-9.57542 3.50759e-06
-9.54545 3.71905e-06
-9.51548 3.94351e-06
-9.48551 4.18178e-06
-9.45554 4.43469e-06
-9.42557 4.70315e-06
-9.3956 4.98811e-06
-9.36563 5.29058e-06
-9.33566 5.61163e-06
-9.30569 5.95241e-06
-9.27572 6.31409e-06
-9.24575 6.69794e-06
-9.21578 7.10529e-06
-9.18581 7.53754e-06
-9.15584 7.99616e-06
-9.12587 8.48269e-06
-9.0959 8.99877e-06
-9.06593 9.5461e-06
-9.03596 1.01265e-05
-9.00599 1.07418e-05
-8.97602 1.13941e-05
-8.94605 1.20853e-05
-8.91608 1.28178e-05
-8.88611 1.35938e-05
-8.85614 1.44158e-05
-8.82617 1.52862e-05
-8.7962 1.62079e-05
-8.76623 1.71835e-05
-8.73626 1.82161e-05
-8.70629 1.93088e-05
-8.67632 2.04647e-05
-8.64635 2.16874e-05
-8.61638 2.29803e-05
-8.58641 2.43472e-05
-8.55644 2.5792e-05
-8.52647 2.73187e-05
-8.4965 2.89316e-05
-8.46653 3.06351e-05
-8.43656 3.24337e-05
-8.40659 3.43324e-05
-8.37662 3.6336e-05
-8.34665 3.84497e-05
-8.31668 4.06791e-05
-8.28671 4.30295e-05
-8.25674 4.5507e-05
