z d
0 1.18382
0.02997 1.18382
0.0599401 1.18382
0.0899101 1.18382
0.11988 1.18382
0.14985 1.18382
0.17982 1.18382
0.20979 1.18382
0.23976 1.18382
0.26973 1.18382
0.2997 1.18382
0.32967 1.18382
0.35964 1.18382
0.38961 1.18382
0.41958 1.18382
0.44955 1.18382
0.47952 1.18382
0.509491 1.18382
0.539461 1.18382
0.569431 1.18382
0.599401 1.18382
0.629371 1.18382
0.659341 1.18382
0.689311 1.18382
0.719281 1.18382
0.749251 1.18382
0.779221 1.18382
0.809191 1.18382
0.839161 1.18382
0.869131 1.18382
0.899101 1.18382
0.929071 1.18382
0.959041 1.18382
0.989011 1.18382
1.01898 1.18382
1.04895 1.18382
1.07892 1.18382
1.10889 1.18382
1.13886 1.18382
1.16883 1.18382
1.1988 1.18382
1.22877 1.18382
1.25874 1.18382
1.28871 1.18382
1.31868 1.18382
1.34865 1.18382
1.37862 1.18382
1.40859 1.18382
1.43856 1.18382
1.46853 1.18382
1.4985 1.18382
1.52847 1.18382
1.55844 1.18382
1.58841 1.18382
1.61838 1.18382
1.64835 1.18382
1.67832 1.18382
1.70829 1.18382
1.73826 1.18382
1.76823 1.18382
1.7982 1.18382
1.82817 1.18382
1.85814 1.18382
1.88811 1.18382
1.91808 1.18382
1.94805 1.18382
1.97802 1.18382
2.00799 1.18382
2.03796 1.18382
2.06793 1.18382
2.0979 1.18382
2.12787 1.18382
2.15784 1.18382
2.18781 1.18382
2.21778 1.18382
2.24775 1.18382
2.27772 1.18382
2.30769 1.18382
2.33766 1.18382
2.36763 1.18382
2.3976 1.18382
2.42757 1.18382
2.45754 1.18382
2.48751 1.18382
2.51748 1.18382
2.54745 1.18382
2.57742 1.18382
2.60739 1.18382
2.63736 1.18382
2.66733 1.18382
2.6973 1.15385
2.72727 1.15385
2.75724 1.15385
2.78721 1.15385
2.81718 1.15385
2.84715 1.15385
2.87712 1.15385
2.90709 1.15385
2.93706 1.15385
2.96703 1.15385
2.997 1.15385
3.02697 1.15385
3.05694 1.15385
3.08691 1.15385
3.11688 1.15385
3.14685 1.15385
3.17682 1.15385
3.20679 1.15385
3.23676 1.15385
3.26673 1.15385
3.2967 1.15385
3.32667 1.15385
3.35664 1.15385
3.38661 1.15385
3.41658 1.15385
3.44655 1.15385
3.47652 1.15385
3.50649 1.15385
3.53646 1.15385
3.56643 1.15385
3.5964 1.15385
3.62637 1.15385
3.65634 1.15385
3.68631 1.15385
3.71628 1.15385
3.74625 1.15385
3.77622 1.15385
3.80619 1.15385
3.83616 1.15385
3.86613 1.15385
3.8961 1.15385
3.92607 1.15385
3.95604 1.15385
3.98601 1.15385
4.01598 1.15385
4.04595 1.15385
4.07592 1.15385
4.10589 1.15385
4.13586 1.15385
4.16583 1.12388
4.1958 1.12388
4.22577 1.12388
4.25574 1.12388
4.28571 1.12388
4.31568 1.12388
4.34565 1.12388
4.37562 1.12388
4.40559 1.12388
4.43556 1.12388
4.46553 1.12388
4.4955 1.12388
4.52547 1.12388
4.55544 1.12388
4.58541 1.12388
4.61538 1.12388
4.64535 1.12388
4.67532 1.12388
4.70529 1.12388
4.73526 1.12388
4.76523 1.12388
4.7952 1.12388
4.82517 1.12388
4.85514 1.12388
4.88511 1.12388
4.91508 1.12388
4.94505 1.12388
4.97502 1.12388
5.005 1.12388
5.03497 1.12388
5.06494 1.12388
5.09491 1.12388
5.12488 1.12388
5.15485 1.12388
5.18482 1.12388
5.21479 1.12388
5.24476 1.12388
5.27473 1.12388
5.3047 1.12388
5.33467 1.12388
5.36464 1.09391
5.39461 1.09391
5.42458 1.09391
5.45455 1.09391
5.48452 1.09391
5.51449 1.09391
5.54446 1.09391
5.57443 1.09391
5.6044 1.09391
5.63437 1.09391
5.66434 1.09391
5.69431 1.09391
5.72428 1.09391
5.75425 1.09391
5.78422 1.09391
5.81419 1.09391
5.84416 1.09391
5.87413 1.09391
5.9041 1.09391
5.93407 1.09391
5.96404 1.09391
5.99401 1.09391
6.02398 1.09391
6.05395 1.09391
6.08392 1.09391
6.11389 1.09391
6.14386 1.09391
6.17383 1.09391
6.2038 1.09391
6.23377 1.09391
6.26374 1.09391
6.29371 1.09391
6.32368 1.09391
6.35365 1.09391
6.38362 1.09391
6.41359 1.09391
6.44356 1.09391
6.47353 1.09391
6.5035 1.06394
6.53347 1.06394
6.56344 1.06394
6.59341 1.06394
6.62338 1.06394
6.65335 1.06394
6.68332 1.06394
6.71329 1.06394
6.74326 1.06394
6.77323 1.06394
6.8032 1.06394
6.83317 1.06394
6.86314 1.06394
6.89311 1.06394
6.92308 1.06394
6.95305 1.06394
6.98302 1.06394
7.01299 1.06394
7.04296 1.06394
7.07293 1.06394
7.1029 1.06394
7.13287 1.06394
7.16284 1.06394
7.19281 1.06394
7.22278 1.06394
7.25275 1.06394
7.28272 1.06394
7.31269 1.06394
7.34266 1.06394
7.37263 1.06394
7.4026 1.06394
7.43257 1.06394
7.46254 1.06394
7.49251 1.06394
7.52248 1.06394
7.55245 1.06394
7.58242 1.06394
7.61239 1.06394
7.64236 1.06394
7.67233 1.03397
7.7023 1.03397
7.73227 1.03397
7.76224 1.03397
7.79221 1.03397
7.82218 1.03397
7.85215 1.03397
7.88212 1.03397
7.91209 1.03397
7.94206 1.03397
7.97203 1.03397
8.002 1.03397
8.03197 1.03397
8.06194 1.03397
8.09191 1.03397
8.12188 1.03397
8.15185 1.03397
8.18182 1.03397
8.21179 1.03397
8.24176 1.03397
8.27173 1.03397
8.3017 1.03397
8.33167 1.03397
8.36164 1.03397
8.39161 1.03397
8.42158 1.03397
8.45155 1.03397
8.48152 1.03397
8.51149 1.03397
8.54146 1.03397
8.57143 1.03397
8.6014 1.03397
8.63137 1.03397
8.66134 1.03397
8.69131 1.03397
8.72128 1.03397
8.75125 1.03397
8.78122 1.03397
8.81119 1.03397
8.84116 1.03397
8.87113 1.03397
8.9011 1.03397
8.93107 1.03397
8.96104 1.03397
8.99101 1.03397
9.02098 1.004
9.05095 1.004
9.08092 1.004
9.11089 1.004
9.14086 1.004
9.17083 1.004
9.2008 1.004
9.23077 1.004
9.26074 1.004
9.29071 1.004
9.32068 1.004
9.35065 1.004
9.38062 1.004
9.41059 1.004
9.44056 1.004
9.47053 1.004
9.5005 1.004
9.53047 1.004
9.56044 1.004
9.59041 1.004
9.62038 1.004
9.65035 1.004
9.68032 1.004
9.71029 1.004
9.74026 1.004
9.77023 1.004
9.8002 1.004
9.83017 1.004
9.86014 1.004
9.89011 1.004
9.92008 1.004
9.95005 1.004
9.98002 1.004
10.01 1.004
10.04 1.004
10.0699 1.004
10.0999 1.004
10.1299 1.004
10.1598 1.004
10.1898 1.004
10.2198 1.004
10.2498 1.004
10.2797 1.004
10.3097 1.004
10.3397 1.004
10.3696 1.004
10.3996 1.004
10.4296 1.004
10.4595 1.004
10.4895 1.004
10.5195 1.004
10.5495 1.004
10.5794 1.004
10.6094 1.004
10.6394 1.004
10.6693 1.004
10.6993 1.004
10.7293 0.974026
10.7592 0.974026
10.7892 0.974026
10.8192 0.974026
10.8492 0.974026
10.8791 0.974026
10.9091 0.974026
10.9391 0.974026
10.969 0.974026
10.999 0.974026
11.029 0.974026
11.0589 0.974026
11.0889 0.974026
11.1189 0.974026
11.1489 0.974026
11.1788 0.974026
11.2088 0.974026
11.2388 0.974026
11.2687 0.974026
11.2987 0.974026
11.3287 0.974026
11.3586 0.974026
11.3886 0.974026
11.4186 0.974026
11.4486 0.974026
11.4785 0.974026
11.5085 0.974026
11.5385 0.974026
11.5684 0.974026
11.5984 0.974026
11.6284 0.974026
11.6583 0.974026
11.6883 0.974026
11.7183 0.974026
11.7483 0.974026
11.7782 0.974026
11.8082 0.974026
11.8382 0.974026
11.8681 0.974026
11.8981 0.974026
11.9281 0.974026
11.958 0.974026
11.988 0.974026
12.018 0.974026
12.048 0.974026
12.0779 0.974026
12.1079 0.974026
12.1379 0.974026
12.1678 0.974026
12.1978 0.974026
12.2278 0.974026
12.2577 0.974026
12.2877 0.974026
12.3177 0.974026
12.3477 0.974026
12.3776 0.974026
12.4076 0.974026
12.4376 0.974026
12.4675 0.974026
12.4975 0.974026
12.5275 0.974026
12.5574 0.974026
12.5874 0.974026
12.6174 0.974026
12.6474 0.974026
12.6773 0.974026
12.7073 0.974026
12.7373 0.974026
12.7672 0.974026
12.7972 0.974026
12.8272 0.974026
12.8571 0.974026
12.8871 0.974026
12.9171 0.974026
12.9471 0.974026
12.977 0.974026
13.007 0.974026
13.037 0.974026
13.0669 0.974026
13.0969 0.974026
13.1269 0.974026
13.1568 0.974026
13.1868 0.974026
13.2168 0.974026
13.2468 0.974026
13.2767 0.974026
13.3067 0.974026
13.3367 0.974026
13.3666 0.974026
13.3966 0.974026
13.4266 0.974026
13.4565 0.974026
13.4865 0.974026
13.5165 0.974026
13.5465 0.974026
13.5764 0.974026
13.6064 0.974026
13.6364 0.974026
13.6663 0.944056
13.6963 0.944056
13.7263 0.944056
13.7562 0.944056
13.7862 0.944056
13.8162 0.944056
13.8462 0.944056
13.8761 0.944056
13.9061 0.944056
13.9361 0.944056
13.966 0.944056
13.996 0.944056
14.026 0.944056
14.0559 0.944056
14.0859 0.944056
14.1159 0.944056
14.1459 0.944056
14.1758 0.944056
14.2058 0.944056
14.2358 0.944056
14.2657 0.944056
14.2957 0.944056
14.3257 0.944056
14.3556 0.944056
14.3856 0.944056
14.4156 0.944056
14.4456 0.944056
14.4755 0.944056
14.5055 0.944056
14.5355 0.944056
14.5654 0.944056
14.5954 0.944056
14.6254 0.944056
14.6553 0.944056
14.6853 0.944056
14.7153 0.944056
14.7453 0.944056
14.7752 0.944056
14.8052 0.944056
14.8352 0.944056
14.8651 0.944056
14.8951 0.944056
14.9251 0.944056
14.955 0.944056
14.985 0.944056
15.015 0.944056
15.045 0.944056
15.0749 0.944056
15.1049 0.944056
15.1349 0.944056
15.1648 0.944056
15.1948 0.944056
15.2248 0.944056
15.2547 0.944056
15.2847 0.944056
15.3147 0.944056
15.3447 0.944056
15.3746 0.944056
15.4046 0.944056
15.4346 0.944056
15.4645 0.944056
15.4945 0.944056
15.5245 0.944056
15.5544 0.944056
15.5844 0.944056
15.6144 0.944056
15.6444 0.944056
15.6743 0.944056
15.7043 0.944056
15.7343 0.944056
15.7642 0.944056
15.7942 0.944056
15.8242 0.944056
15.8541 0.944056
15.8841 0.944056
15.9141 0.944056
15.9441 0.944056
15.974 0.944056
16.004 0.944056
16.034 0.944056
16.0639 0.944056
16.0939 0.944056
16.1239 0.944056
16.1538 0.944056
16.1838 0.944056
16.2138 0.944056
16.2438 0.944056
16.2737 0.944056
16.3037 0.944056
16.3337 0.944056
16.3636 0.944056
16.3936 0.944056
16.4236 0.944056
16.4535 0.944056
16.4835 0.944056
16.5135 0.944056
16.5435 0.944056
16.5734 0.944056
16.6034 0.944056
16.6334 0.944056
16.6633 0.944056
16.6933 0.944056
16.7233 0.944056
16.7532 0.944056
16.7832 0.944056
16.8132 0.944056
16.8432 0.944056
16.8731 0.944056
16.9031 0.944056
16.9331 0.944056
16.963 0.944056
16.993 0.944056
17.023 0.944056
17.0529 0.944056
17.0829 0.944056
17.1129 0.944056
17.1429 0.944056
17.1728 0.944056
17.2028 0.944056
17.2328 0.944056
17.2627 0.944056
17.2927 0.944056
17.3227 0.944056
17.3526 0.944056
17.3826 0.944056
17.4126 0.944056
17.4426 0.944056
17.4725 0.944056
17.5025 0.944056
17.5325 0.944056
17.5624 0.944056
17.5924 0.944056
17.6224 0.944056
17.6523 0.944056
17.6823 0.944056
17.7123 0.944056
17.7423 0.944056
17.7722 0.944056
17.8022 0.944056
17.8322 0.944056
17.8621 0.944056
17.8921 0.944056
17.9221 0.944056
17.952 0.944056
17.982 0.944056
18.012 0.944056
18.042 0.944056
18.0719 0.944056
18.1019 0.944056
18.1319 0.944056
18.1618 0.944056
18.1918 0.944056
18.2218 0.944056
18.2517 0.944056
18.2817 0.944056
18.3117 0.944056
18.3417 0.944056
18.3716 0.944056
18.4016 0.944056
18.4316 0.944056
18.4615 0.944056
18.4915 0.944056
18.5215 0.944056
18.5514 0.944056
18.5814 0.944056
18.6114 0.944056
18.6414 0.944056
18.6713 0.944056
18.7013 0.944056
18.7313 0.944056
18.7612 0.944056
18.7912 0.944056
18.8212 0.944056
18.8511 0.944056
18.8811 0.944056
18.9111 0.944056
18.9411 0.944056
18.971 0.944056
19.001 0.944056
19.031 0.944056
19.0609 0.944056
19.0909 0.944056
19.1209 0.944056
19.1508 0.944056
19.1808 0.944056
19.2108 0.944056
19.2408 0.944056
19.2707 0.944056
19.3007 0.944056
19.3307 0.944056
19.3606 0.944056
19.3906 0.944056
19.4206 0.944056
19.4505 0.944056
19.4805 0.944056
19.5105 0.944056
19.5405 0.944056
19.5704 0.944056
19.6004 0.944056
19.6304 0.944056
19.6603 0.944056
19.6903 0.944056
19.7203 0.944056
19.7502 0.944056
19.7802 0.944056
19.8102 0.944056
19.8402 0.944056
19.8701 0.944056
19.9001 0.944056
19.9301 0.944056
19.96 0.944056
19.99 0.944056
20.02 0.944056
20.05 0.944056
20.0799 0.944056
20.1099 0.944056
20.1399 0.944056
20.1698 0.944056
20.1998 0.944056
20.2298 0.944056
20.2597 0.944056
20.2897 0.944056
20.3197 0.944056
20.3497 0.944056
20.3796 0.944056
20.4096 0.944056
20.4396 0.944056
20.4695 0.944056
20.4995 0.944056
20.5295 0.944056
20.5594 0.944056
20.5894 0.944056
20.6194 0.944056
20.6494 0.944056
20.6793 0.944056
20.7093 0.944056
20.7393 0.944056
20.7692 0.944056
20.7992 0.944056
20.8292 0.944056
20.8591 0.944056
20.8891 0.944056
20.9191 0.944056
20.9491 0.944056
20.979 0.944056
21.009 0.944056
21.039 0.944056
21.0689 0.944056
21.0989 0.944056
21.1289 0.944056
21.1588 0.944056
21.1888 0.944056
21.2188 0.944056
21.2488 0.944056
21.2787 0.944056
21.3087 0.944056
21.3387 0.944056
21.3686 0.944056
21.3986 0.944056
21.4286 0.944056
21.4585 0.944056
21.4885 0.944056
21.5185 0.944056
21.5485 0.944056
21.5784 0.944056
21.6084 0.944056
21.6384 0.944056
21.6683 0.944056
21.6983 0.944056
21.7283 0.944056
21.7582 0.944056
21.7882 0.944056
21.8182 0.944056
21.8482 0.944056
21.8781 0.944056
21.9081 0.944056
21.9381 0.944056
21.968 0.944056
21.998 0.944056
22.028 0.944056
22.0579 0.944056
22.0879 0.944056
22.1179 0.944056
22.1479 0.944056
22.1778 0.944056
22.2078 0.944056
22.2378 0.944056
22.2677 0.944056
22.2977 0.944056
22.3277 0.944056
22.3576 0.944056
22.3876 0.944056
22.4176 0.944056
22.4476 0.944056
22.4775 0.944056
22.5075 0.944056
22.5375 0.944056
22.5674 0.944056
22.5974 0.944056
22.6274 0.944056
22.6573 0.944056
22.6873 0.944056
22.7173 0.944056
22.7473 0.944056
22.7772 0.944056
22.8072 0.944056
22.8372 0.944056
22.8671 0.944056
22.8971 0.944056
22.9271 0.974026
22.957 0.974026
22.987 0.974026
23.017 0.974026
23.047 0.974026
23.0769 0.974026
23.1069 0.974026
23.1369 0.974026
23.1668 0.974026
23.1968 0.974026
23.2268 0.974026
23.2567 0.974026
23.2867 0.974026
23.3167 0.974026
23.3467 0.974026
23.3766 0.974026
23.4066 0.974026
23.4366 0.974026
23.4665 0.974026
23.4965 0.974026
23.5265 0.974026
23.5564 0.974026
23.5864 0.974026
23.6164 0.974026
23.6464 0.974026
23.6763 0.974026
23.7063 0.974026
23.7363 0.974026
23.7662 0.974026
23.7962 0.974026
23.8262 0.974026
23.8561 0.974026
23.8861 0.974026
23.9161 0.974026
23.9461 0.974026
23.976 0.974026
24.006 0.974026
24.036 0.974026
24.0659 0.974026
24.0959 0.974026
24.1259 0.974026
24.1558 0.974026
24.1858 0.974026
24.2158 0.974026
24.2458 0.974026
24.2757 0.974026
24.3057 0.974026
24.3357 0.974026
24.3656 0.974026
24.3956 0.974026
24.4256 0.974026
24.4555 0.974026
24.4855 0.974026
24.5155 0.974026
24.5455 0.974026
24.5754 0.974026
24.6054 0.974026
24.6354 0.974026
24.6653 0.974026
24.6953 0.974026
24.7253 0.974026
24.7552 0.974026
24.7852 0.974026
24.8152 0.974026
24.8452 0.974026
