alpha s value
1 1 2.68803e-12
1 2 -9.61271e-13
1 3 -3.76418e-12
1 4 -4.12243e-12
1 5 -4.17857e-12
1 6 -4.16262e-12
1 7 -4.02969e-12
2 1 -4.15653e-13
2 2 -5.34714e-14
2 3 -7.41751e-13
2 4 -5.78681e-13
2 5 -5.07524e-13
2 6 -5.3001e-13
2 7 -6.59024e-13
3 1 1.32457e-13
3 2 -5.96765e-15
3 3 -3.1161e-13
3 4 -1.6633e-13
3 5 -1.25366e-13
3 6 -1.37509e-13
3 7 -2.23188e-13
4 1 -5.34617e-14
4 2 -8.33586e-16
4 3 -1.69031e-13
4 4 -6.03665e-14
4 5 -3.89822e-14
4 6 -4.49483e-14
4 7 -9.59603e-14
5 1 2.43366e-14
5 2 -1.30495e-16
5 3 -1.04697e-13
5 4 -2.4668e-14
5 5 -1.36252e-14
5 6 -1.65229e-14
5 7 -4.65965e-14
6 1 -1.19193e-14
6 2 -2.18959e-17
6 3 -7.03655e-14
6 4 -1.0834e-14
6 5 -5.11335e-15
6 6 -6.52319e-15
6 7 -2.43645e-14
7 1 6.1321e-15
7 2 -3.84977e-18
7 3 -4.9984e-14
7 4 -4.99478e-15
7 5 -2.01305e-15
7 6 -2.70208e-15
7 7 -1.33901e-14
8 1 -3.26834e-15
8 2 -7.00055e-19
8 3 -3.69548e-14
8 4 -2.38446e-15
8 5 -8.20267e-16
8 6 -1.15863e-15
8 7 -7.62681e-15
9 1 1.789e-15
9 2 -1.30579e-19
9 3 -2.816e-14
9 4 -1.16863e-15
9 5 -3.43029e-16
9 6 -5.09917e-16
9 7 -4.4627e-15
