X Z
0 0.000594817
0.119522 0.000594816
0.239044 0.000594813
0.358566 0.000594811
0.478088 0.00059481
0.59761 0.000594811
0.717131 0.000594814
0.836653 0.000594818
0.956175 0.000594821
1.0757 0.00059482
1.19522 0.000594816
1.31474 0.000594808
1.43426 0.000594801
1.55378 0.000594797
1.67331 0.000594801
1.79283 0.000594811
1.91235 0.000594827
2.03187 0.000594843
2.15139 0.000594851
2.27092 0.000594845
2.39044 0.000594823
2.50996 0.000594788
2.62948 0.000594751
2.749 0.000594726
2.86853 0.000594727
2.98805 0.000594763
3.10757 0.00059483
3.22709 0.000594914
3.34661 0.00059499
3.46614 0.000595029
3.58566 0.000595007
3.70518 0.000594913
3.8247 0.00059476
3.94422 0.000594581
4.06375 0.000594426
4.18327 0.000594351
4.30279 0.000594399
4.42231 0.000594586
4.54183 0.000594892
4.66135 0.000595256
4.78088 0.000595586
4.9004 0.000595775
5.01992 0.000595725
5.13944 0.000595374
5.25896 0.000594718
5.37849 0.000593822
5.49801 0.000592826
5.61753 0.000591929
5.73705 0.000591368
5.85657 0.000591383
5.9761 0.000592182
6.09562 0.000593897
6.21514 0.000596555
6.33466 0.000600049
6.45418 0.000604125
6.57371 0.000608386
6.69323 0.000612302
6.81275 0.000615246
6.93227 0.000616541
7.05179 0.000615518
7.17131 0.000611584
7.29084 0.000604301
7.41036 0.000593454
7.52988 0.000579113
7.6494 0.000561685
7.76892 0.000541937
7.88845 0.000520996
8.00797 0.000500315
8.12749 0.00048161
8.24701 0.000466776
8.36653 0.000457781
8.48606 0.000456539
8.60558 0.000464803
8.7251 0.000484047
8.84462 0.000515384
8.96414 0.000559507
9.08367 0.000616662
9.20319 0.000686662
9.32271 0.000768933
9.44223 0.000862594
9.56175 0.000966562
9.68127 0.00107967
9.8008 0.0012008
9.92032 0.00132902
10.0398 0.00146367
10.1594 0.00160453
10.2789 0.00175185
10.3984 0.00190647
10.5179 0.00206986
10.6375 0.00224419
10.757 0.00243234
10.8765 0.00263799
10.996 0.00286564
11.1155 0.0031207
11.2351 0.00340955
11.3546 0.0037397
11.4741 0.00411985
11.5936 0.0045601
11.7131 0.00507205
11.8327 0.00566901
11.9522 0.0063661
12.0717 0.00718038
12.1912 0.00813087
12.3108 0.0092385
12.4303 0.0105259
12.5498 0.0120172
12.6693 0.013737
12.7888 0.0157101
12.9084 0.0179597
13.0279 0.0205063
13.1474 0.0233657
13.2669 0.0265463
13.3865 0.030047
13.506 0.0338543
13.6255 0.0379393
13.745 0.0422558
13.8645 0.0467381
13.9841 0.051301
14.1036 0.0558401
14.2231 0.0602351
14.3426 0.0643539
14.4622 0.0680596
14.5817 0.0712186
14.7012 0.0737091
14.8207 0.0754301
14.9402 0.0763094
15.0598 0.0763094
15.1793 0.0754301
15.2988 0.0737091
15.4183 0.0712186
15.5378 0.0680596
15.6574 0.0643539
15.7769 0.0602351
15.8964 0.0558401
16.0159 0.051301
16.1355 0.0467381
16.255 0.0422558
16.3745 0.0379393
16.494 0.0338543
16.6135 0.030047
16.7331 0.0265463
16.8526 0.0233657
16.9721 0.0205063
17.0916 0.0179597
17.2112 0.0157101
17.3307 0.013737
17.4502 0.0120172
17.5697 0.0105259
17.6892 0.0092385
17.8088 0.00813087
17.9283 0.00718038
18.0478 0.0063661
18.1673 0.00566901
18.2869 0.00507205
18.4064 0.0045601
18.5259 0.00411985
18.6454 0.0037397
18.7649 0.00340955
18.8845 0.0031207
19.004 0.00286564
19.1235 0.00263799
19.243 0.00243234
19.3625 0.00224419
19.4821 0.00206986
19.6016 0.00190647
19.7211 0.00175185
19.8406 0.00160453
19.9602 0.00146367
20.0797 0.00132902
20.1992 0.0012008
20.3187 0.00107967
20.4382 0.000966562
20.5578 0.000862594
20.6773 0.000768933
20.7968 0.000686662
20.9163 0.000616662
21.0359 0.000559507
21.1554 0.000515384
21.2749 0.000484047
21.3944 0.000464803
21.5139 0.000456539
21.6335 0.000457781
21.753 0.000466776
21.8725 0.00048161
21.992 0.000500315
22.1116 0.000520996
22.2311 0.000541937
22.3506 0.000561685
22.4701 0.000579113
22.5896 0.000593454
22.7092 0.000604301
22.8287 0.000611584
22.9482 0.000615518
23.0677 0.000616541
23.1873 0.000615246
23.3068 0.000612302
23.4263 0.000608386
23.5458 0.000604125
23.6653 0.000600049
23.7849 0.000596555
23.9044 0.000593897
24.0239 0.000592182
24.1434 0.000591383
24.2629 0.000591368
24.3825 0.000591929
24.502 0.000592826
24.6215 0.000593822
24.741 0.000594718
24.8606 0.000595374
24.9801 0.000595725
25.0996 0.000595775
25.2191 0.000595586
25.3386 0.000595256
25.4582 0.000594892
25.5777 0.000594586
25.6972 0.000594399
25.8167 0.000594351
25.9363 0.000594426
26.0558 0.000594581
26.1753 0.00059476
26.2948 0.000594913
26.4143 0.000595007
26.5339 0.000595029
26.6534 0.00059499
26.7729 0.000594914
26.8924 0.00059483
27.012 0.000594763
27.1315 0.000594727
27.251 0.000594726
27.3705 0.000594751
27.49 0.000594788
27.6096 0.000594823
27.7291 0.000594845
27.8486 0.000594851
27.9681 0.000594843
28.0876 0.000594827
28.2072 0.000594811
28.3267 0.000594801
28.4462 0.000594797
28.5657 0.000594801
28.6853 0.000594808
28.8048 0.000594816
28.9243 0.00059482
29.0438 0.000594821
29.1633 0.000594818
29.2829 0.000594814
29.4024 0.000594811
29.5219 0.00059481
29.6414 0.000594811
29.761 0.000594813
29.8805 0.000594816
