X T Z
0 0 0
0.119522 0 0
0.239044 0 0
0.358566 0 0
0.478088 0 0
0.59761 0 0
0.717131 0 0
0.836653 0 0
0.956175 0 0
1.0757 0 0
1.19522 0 0
1.31474 0 0
1.43426 0 0
1.55378 0 0
1.67331 0 0
1.79283 0 0
1.91235 0 0
2.03187 0 0
2.15139 0 0
2.27092 0 0
2.39044 0 0
2.50996 0 0
2.62948 0 0
2.749 0 0
2.86853 0 0
2.98805 0 0
3.10757 0 0
3.22709 0 0
3.34661 0 0
3.46614 0 0
3.58566 0 0
3.70518 0 0
3.8247 0 0
3.94422 0 0
4.06375 0 0
4.18327 0 0
4.30279 0 0
4.42231 0 0
4.54183 0 0
4.66135 0 0
4.78088 0 0
4.9004 0 0
5.01992 0 0
5.13944 0 0
5.25896 0 0
5.37849 0 0
5.49801 0 0
5.61753 0 0
5.73705 0 0
5.85657 0 0
5.9761 0 0
6.09562 0 0
6.21514 0 0
6.33466 0 0
6.45418 0 0
6.57371 0 0
6.69323 0 0
6.81275 0 0
6.93227 0 0
7.05179 0 0
7.17131 0 0
7.29084 0 0
7.41036 0 0
7.52988 0 0
7.6494 0 0
7.76892 0 0
7.88845 0 0
8.00797 0 0
8.12749 0 0
8.24701 0 0
8.36653 0 0
8.48606 0 0
8.60558 0 0
8.7251 0 0
8.84462 0 0
8.96414 0 0
9.08367 0 0
9.20319 0 0
9.32271 0 0
9.44223 0 0
9.56175 0 0
9.68127 0 0
9.8008 0 0
9.92032 0 0
10.0398 0 0
10.1594 0 0
10.2789 0 0
10.3984 0 0
10.5179 0 0
10.6375 0 0
10.757 0 0
10.8765 0 0
10.996 0 0
11.1155 0 0
11.2351 0 0
11.3546 0 0
11.4741 0 0
11.5936 0 0
11.7131 0 0
11.8327 0 0
11.9522 0 0
12.0717 0 0
12.1912 0 0
12.3108 0 0
12.4303 0 0
12.5498 0 0
12.6693 0 0
12.7888 0 0
12.9084 0 0
13.0279 0 0
13.1474 0 0
13.2669 0 0
13.3865 0 0
13.506 0 0
13.6255 0 0
13.745 0 0
13.8645 0 0
13.9841 0 0
14.1036 0 0
14.2231 0 0
14.3426 0 0
14.4622 0 0
14.5817 0 0
14.7012 0 0
14.8207 0 0
14.9402 0 0
15.0598 0 0
15.1793 0 0
15.2988 0 0
15.4183 0 0
15.5378 0 0
15.6574 0 0
15.7769 0 0
15.8964 0 0
16.0159 0 0
16.1355 0 0
16.255 0 0
16.3745 0 0
16.494 0 0
16.6135 0 0
16.7331 0 0
16.8526 0 0
16.9721 0 0
17.0916 0 0
17.2112 0 0
17.3307 0 0
17.4502 0 0
17.5697 0 0
17.6892 0 0
17.8088 0 0
17.9283 0 0
18.0478 0 0
18.1673 0 0
18.2869 0 0
18.4064 0 0
18.5259 0 0
18.6454 0 0
18.7649 0 0
18.8845 0 0
19.004 0 0
19.1235 0 0
19.243 0 0
19.3625 0 0
19.4821 0 0
19.6016 0 0
19.7211 0 0
19.8406 0 0
19.9602 0 0
20.0797 0 0
20.1992 0 0
20.3187 0 0
20.4382 0 0
20.5578 0 0
20.6773 0 0
20.7968 0 0
20.9163 0 0
21.0359 0 0
21.1554 0 0
21.2749 0 0
21.3944 0 0
21.5139 0 0
21.6335 0 0
21.753 0 0
21.8725 0 0
21.992 0 0
22.1116 0 0
22.2311 0 0
22.3506 0 0
22.4701 0 0
22.5896 0 0
22.7092 0 0
22.8287 0 0
22.9482 0 0
23.0677 0 0
23.1873 0 0
23.3068 0 0
23.4263 0 0
23.5458 0 0
23.6653 0 0
23.7849 0 0
23.9044 0 0
24.0239 0 0
24.1434 0 0
24.2629 0 0
24.3825 0 0
24.502 0 0
24.6215 0 0
24.741 0 0
24.8606 0 0
24.9801 0 0
25.0996 0 0
25.2191 0 0
25.3386 0 0
25.4582 0 0
25.5777 0 0
25.6972 0 0
25.8167 0 0
25.9363 0 0
26.0558 0 0
26.1753 0 0
26.2948 0 0
26.4143 0 0
26.5339 0 0
26.6534 0 0
26.7729 0 0
26.8924 0 0
27.012 0 0
27.1315 0 0
27.251 0 0
27.3705 0 0
27.49 0 0
27.6096 0 0
27.7291 0 0
27.8486 0 0
27.9681 0 0
28.0876 0 0
28.2072 0 0
28.3267 0 0
28.4462 0 0
28.5657 0 0
28.6853 0 0
28.8048 0 0
28.9243 0 0
29.0438 0 0
29.1633 0 0
29.2829 0 0
29.4024 0 0
29.5219 0 0
29.6414 0 0
29.761 0 0
29.8805 0 0
0 0.119522 -1.21154e-05
0.119522 0.119522 -1.21154e-05
0.239044 0.119522 -1.21154e-05
0.358566 0.119522 -1.21154e-05
0.478088 0.119522 -1.21154e-05
0.59761 0.119522 -1.21154e-05
0.717131 0.119522 -1.21154e-05
0.836653 0.119522 -1.21154e-05
0.956175 0.119522 -1.21154e-05
1.0757 0.119522 -1.21154e-05
1.19522 0.119522 -1.21154e-05
1.31474 0.119522 -1.21154e-05
1.43426 0.119522 -1.21154e-05
1.55378 0.119522 -1.21154e-05
1.67331 0.119522 -1.21154e-05
1.79283 0.119522 -1.21154e-05
1.91235 0.119522 -1.21154e-05
2.03187 0.119522 -1.21154e-05
2.15139 0.119522 -1.21154e-05
2.27092 0.119522 -1.21154e-05
2.39044 0.119522 -1.21154e-05
2.50996 0.119522 -1.21154e-05
2.62948 0.119522 -1.21154e-05
2.749 0.119522 -1.21154e-05
2.86853 0.119522 -1.21154e-05
2.98805 0.119522 -1.21154e-05
3.10757 0.119522 -1.21154e-05
3.22709 0.119522 -1.21154e-05
3.34661 0.119522 -1.21154e-05
3.46614 0.119522 -1.21154e-05
3.58566 0.119522 -1.21154e-05
3.70518 0.119522 -1.21154e-05
3.8247 0.119522 -1.21154e-05
3.94422 0.119522 -1.21154e-05
4.06375 0.119522 -1.21154e-05
4.18327 0.119522 -1.21154e-05
4.30279 0.119522 -1.21154e-05
4.42231 0.119522 -1.21154e-05
4.54183 0.119522 -1.21154e-05
4.66135 0.119522 -1.21154e-05
4.78088 0.119522 -1.21154e-05
4.9004 0.119522 -1.21154e-05
5.01992 0.119522 -1.21154e-05
5.13944 0.119522 -1.21154e-05
5.25896 0.119522 -1.21154e-05
5.37849 0.119522 -1.21154e-05
5.49801 0.119522 -1.21154e-05
5.61753 0.119522 -1.21154e-05
5.73705 0.119522 -1.21154e-05
5.85657 0.119522 -1.21154e-05
