X T Z
-3.14159 0 0
-3.11656 0 0
-3.09153 0 0
-3.06649 0 0
-3.04146 0 0
-3.01643 0 0
-2.9914 0 0
-2.96636 0 0
-2.94133 0 0
-2.9163 0 0
-2.89127 0 0
-2.86623 0 0
-2.8412 0 0
-2.81617 0 0
-2.79114 0 0
-2.7661 0 0
-2.74107 0 0
-2.71604 0 0
-2.69101 0 0
-2.66597 0 0
-2.64094 0 0
-2.61591 0 0
-2.59088 0 0
-2.56584 0 0
-2.54081 0 0
-2.51578 0 0
-2.49074 0 0
-2.46571 0 0
-2.44068 0 0
-2.41565 0 0
-2.39061 0 0
-2.36558 0 0
-2.34055 0 0
-2.31552 0 0
-2.29048 0 0
-2.26545 0 0
-2.24042 0 0
-2.21539 0 0
-2.19035 0 0
-2.16532 0 0
-2.14029 0 0
-2.11526 0 0
-2.09022 0 0
-2.06519 0 0
-2.04016 0 0
-2.01513 0 0
-1.99009 0 0
-1.96506 0 0
-1.94003 0 0
-1.91499 0 0
-1.88996 0 0
-1.86493 0 0
-1.8399 0 0
-1.81486 0 0
-1.78983 0 0
-1.7648 0 0
-1.73977 0 0
-1.71473 0 0
-1.6897 0 0
-1.66467 0 0
-1.63964 0 0
-1.6146 0 0
-1.58957 0 0
-1.56454 0 0
-1.53951 0 0
-1.51447 0 0
-1.48944 0 0
-1.46441 0 0
-1.43938 0 0
-1.41434 0 0
-1.38931 0 0
-1.36428 0 0
-1.33924 0 0
-1.31421 0 0
-1.28918 0 0
-1.26415 0 0
-1.23911 0 0
-1.21408 0 0
-1.18905 0 0
-1.16402 0 0
-1.13898 0 0
-1.11395 0 0
-1.08892 0 0
-1.06389 0 0
-1.03885 0 0
-1.01382 0 0
-0.988788 0 0
-0.963756 0 0
-0.938723 0 0
-0.91369 0 0
-0.888658 0 0
-0.863625 0 0
-0.838592 0 0
-0.81356 0 0
-0.788527 0 0
-0.763495 0 0
-0.738462 0 0
-0.713429 0 0
-0.688397 0 0
-0.663364 0 0
-0.638332 0 0
-0.613299 0 0
-0.588266 0 0
-0.563234 0 0
-0.538201 0 0
-0.513169 0 0
-0.488136 0 0
-0.463103 0 0
-0.438071 0 0
-0.413038 0 0
-0.388005 0 0
-0.362973 0 0
-0.33794 0 0
-0.312908 0 0
-0.287875 0 0
-0.262842 0 0
-0.23781 0 0
-0.212777 0 0
-0.187745 0 0
-0.162712 0 0
-0.137679 0 0
-0.112647 0 0
-0.0876141 0 0
-0.0625815 0 0
-0.0375489 0 0
-0.0125163 0 0
0.0125163 0 0
0.0375489 0 0
0.0625815 0 0
0.0876141 0 0
0.112647 0 0
0.137679 0 0
0.162712 0 0
0.187745 0 0
0.212777 0 0
0.23781 0 0
0.262842 0 0
0.287875 0 0
0.312908 0 0
0.33794 0 0
0.362973 0 0
0.388005 0 0
0.413038 0 0
0.438071 0 0
0.463103 0 0
0.488136 0 0
0.513169 0 0
0.538201 0 0
0.563234 0 0
0.588266 0 0
0.613299 0 0
0.638332 0 0
0.663364 0 0
0.688397 0 0
0.713429 0 0
0.738462 0 0
0.763495 0 0
0.788527 0 0
0.81356 0 0
0.838592 0 0
0.863625 0 0
0.888658 0 0
0.91369 0 0
0.938723 0 0
0.963756 0 0
0.988788 0 0
1.01382 0 0
1.03885 0 0
1.06389 0 0
1.08892 0 0
1.11395 0 0
1.13898 0 0
1.16402 0 0
1.18905 0 0
1.21408 0 0
1.23911 0 0
1.26415 0 0
1.28918 0 0
1.31421 0 0
1.33924 0 0
1.36428 0 0
1.38931 0 0
1.41434 0 0
1.43938 0 0
1.46441 0 0
1.48944 0 0
1.51447 0 0
1.53951 0 0
1.56454 0 0
1.58957 0 0
1.6146 0 0
1.63964 0 0
1.66467 0 0
1.6897 0 0
1.71473 0 0
1.73977 0 0
1.7648 0 0
1.78983 0 0
1.81486 0 0
1.8399 0 0
1.86493 0 0
1.88996 0 0
1.91499 0 0
1.94003 0 0
1.96506 0 0
1.99009 0 0
2.01513 0 0
2.04016 0 0
2.06519 0 0
2.09022 0 0
2.11526 0 0
2.14029 0 0
2.16532 0 0
2.19035 0 0
2.21539 0 0
2.24042 0 0
2.26545 0 0
2.29048 0 0
2.31552 0 0
2.34055 0 0
2.36558 0 0
2.39061 0 0
2.41565 0 0
2.44068 0 0
2.46571 0 0
2.49074 0 0
2.51578 0 0
2.54081 0 0
2.56584 0 0
2.59088 0 0
2.61591 0 0
2.64094 0 0
2.66597 0 0
2.69101 0 0
2.71604 0 0
2.74107 0 0
2.7661 0 0
2.79114 0 0
2.81617 0 0
2.8412 0 0
2.86623 0 0
2.89127 0 0
2.9163 0 0
2.94133 0 0
2.96636 0 0
2.9914 0 0
3.01643 0 0
3.04146 0 0
3.06649 0 0
3.09153 0 0
3.11656 0 0
-3.14159 0.0199203 0.0013448
-3.11656 0.0199203 0.000695943
-3.09153 0.0199203 0.000154344
-3.06649 0.0199203 -7.11694e-05
-3.04146 0.0199203 -0.000114521
-3.01643 0.0199203 -0.0001014
-2.9914 0.0199203 -8.68752e-05
-2.96636 0.0199203 -8.23031e-05
-2.94133 0.0199203 -8.4469e-05
-2.9163 0.0199203 -8.91492e-05
-2.89127 0.0199203 -9.42495e-05
-2.86623 0.0199203 -9.92345e-05
-2.8412 0.0199203 -0.000104162
-2.81617 0.0199203 -0.000109172
-2.79114 0.0199203 -0.000114346
-2.7661 0.0199203 -0.000119711
-2.74107 0.0199203 -0.00012527
-2.71604 0.0199203 -0.000131022
-2.69101 0.0199203 -0.000136966
-2.66597 0.0199203 -0.000143105
-2.64094 0.0199203 -0.00014944
-2.61591 0.0199203 -0.000155974
-2.59088 0.0199203 -0.00016271
-2.56584 0.0199203 -0.000169648
-2.54081 0.0199203 -0.00017679
-2.51578 0.0199203 -0.000184139
-2.49074 0.0199203 -0.000191695
-2.46571 0.0199203 -0.000199458
-2.44068 0.0199203 -0.000207431
-2.41565 0.0199203 -0.000215613
-2.39061 0.0199203 -0.000224004
-2.36558 0.0199203 -0.000232604
-2.34055 0.0199203 -0.000241412
-2.31552 0.0199203 -0.000250429
-2.29048 0.0199203 -0.000259653
-2.26545 0.0199203 -0.000269082
-2.24042 0.0199203 -0.000278715
-2.21539 0.0199203 -0.000288549
-2.19035 0.0199203 -0.000298583
