X T Z
-3.14159 0 0.0254415
-3.11656 0 0.0264577
-3.09153 0 0.0275058
-3.06649 0 0.0285865
-3.04146 0 0.0297004
-3.01643 0 0.030848
-2.9914 0 0.0320299
-2.96636 0 0.0332466
-2.94133 0 0.0344988
-2.9163 0 0.0357869
-2.89127 0 0.0371115
-2.86623 0 0.0384731
-2.8412 0 0.0398721
-2.81617 0 0.041309
-2.79114 0 0.0427843
-2.7661 0 0.0442985
-2.74107 0 0.0458518
-2.71604 0 0.0474448
-2.69101 0 0.0490777
-2.66597 0 0.0507509
-2.64094 0 0.0524647
-2.61591 0 0.0542194
-2.59088 0 0.0560152
-2.56584 0 0.0578524
-2.54081 0 0.0597311
-2.51578 0 0.0616516
-2.49074 0 0.0636138
-2.46571 0 0.0656179
-2.44068 0 0.0676639
-2.41565 0 0.0697519
-2.39061 0 0.0718818
-2.36558 0 0.0740535
-2.34055 0 0.076267
-2.31552 0 0.078522
-2.29048 0 0.0808183
-2.26545 0 0.0831557
-2.24042 0 0.085534
-2.21539 0 0.0879527
-2.19035 0 0.0904114
-2.16532 0 0.0929098
-2.14029 0 0.0954473
-2.11526 0 0.0980234
-2.09022 0 0.100637
-2.06519 0 0.103289
-2.04016 0 0.105977
-2.01513 0 0.108701
-1.99009 0 0.11146
-1.96506 0 0.114253
-1.94003 0 0.11708
-1.91499 0 0.119939
-1.88996 0 0.122829
-1.86493 0 0.12575
-1.8399 0 0.128699
-1.81486 0 0.131677
-1.78983 0 0.134681
-1.7648 0 0.13771
-1.73977 0 0.140764
-1.71473 0 0.14384
-1.6897 0 0.146938
-1.66467 0 0.150055
-1.63964 0 0.15319
-1.6146 0 0.156342
-1.58957 0 0.159509
-1.56454 0 0.162689
-1.53951 0 0.16588
-1.51447 0 0.169081
-1.48944 0 0.172289
-1.46441 0 0.175504
-1.43938 0 0.178722
-1.41434 0 0.181943
-1.38931 0 0.185163
-1.36428 0 0.188382
-1.33924 0 0.191596
-1.31421 0 0.194804
-1.28918 0 0.198004
-1.26415 0 0.201193
-1.23911 0 0.20437
-1.21408 0 0.207532
-1.18905 0 0.210676
-1.16402 0 0.213802
-1.13898 0 0.216905
-1.11395 0 0.219985
-1.08892 0 0.223039
-1.06389 0 0.226064
-1.03885 0 0.229059
-1.01382 0 0.23202
-0.988788 0 0.234946
-0.963756 0 0.237835
-0.938723 0 0.240683
-0.91369 0 0.24349
-0.888658 0 0.246252
-0.863625 0 0.248967
-0.838592 0 0.251633
-0.81356 0 0.254249
-0.788527 0 0.256811
-0.763495 0 0.259317
-0.738462 0 0.261766
-0.713429 0 0.264155
-0.688397 0 0.266483
-0.663364 0 0.268747
-0.638332 0 0.270945
-0.613299 0 0.273076
-0.588266 0 0.275137
-0.563234 0 0.277127
-0.538201 0 0.279043
-0.513169 0 0.280885
-0.488136 0 0.282651
-0.463103 0 0.284339
-0.438071 0 0.285947
-0.413038 0 0.287474
-0.388005 0 0.288919
-0.362973 0 0.29028
-0.33794 0 0.291556
-0.312908 0 0.292746
-0.287875 0 0.293849
-0.262842 0 0.294863
-0.23781 0 0.295788
-0.212777 0 0.296624
-0.187745 0 0.297368
-0.162712 0 0.298021
-0.137679 0 0.298582
-0.112647 0 0.29905
-0.0876141 0 0.299425
-0.0625815 0 0.299706
-0.0375489 0 0.299894
-0.0125163 0 0.299988
0.0125163 0 0.299988
0.0375489 0 0.299894
0.0625815 0 0.299706
0.0876141 0 0.299425
0.112647 0 0.29905
0.137679 0 0.298582
0.162712 0 0.298021
0.187745 0 0.297368
0.212777 0 0.296624
0.23781 0 0.295788
0.262842 0 0.294863
0.287875 0 0.293849
0.312908 0 0.292746
0.33794 0 0.291556
0.362973 0 0.29028
0.388005 0 0.288919
0.413038 0 0.287474
0.438071 0 0.285947
0.463103 0 0.284339
0.488136 0 0.282651
0.513169 0 0.280885
0.538201 0 0.279043
0.563234 0 0.277127
0.588266 0 0.275137
0.613299 0 0.273076
0.638332 0 0.270945
0.663364 0 0.268747
0.688397 0 0.266483
0.713429 0 0.264155
0.738462 0 0.261766
0.763495 0 0.259317
0.788527 0 0.256811
0.81356 0 0.254249
0.838592 0 0.251633
0.863625 0 0.248967
0.888658 0 0.246252
0.91369 0 0.24349
0.938723 0 0.240683
0.963756 0 0.237835
0.988788 0 0.234946
1.01382 0 0.23202
1.03885 0 0.229059
1.06389 0 0.226064
1.08892 0 0.223039
1.11395 0 0.219985
1.13898 0 0.216905
1.16402 0 0.213802
1.18905 0 0.210676
1.21408 0 0.207532
1.23911 0 0.20437
1.26415 0 0.201193
1.28918 0 0.198004
1.31421 0 0.194804
1.33924 0 0.191596
