alpha s value
1 1 4.84385e-12
1 2 0.455474
1 3 2.8304e-126
1 4 2.8304e-126
1 5 0.455474
1 6 4.84385e-12
1 7 1.44683e-14
2 1 1.28442e-12
2 2 0.163693
2 3 6.10341e-127
2 4 6.10341e-127
2 5 0.163693
2 6 1.28442e-12
2 7 3.4876e-15
3 1 5.20909e-13
3 2 0.0923215
3 3 1.99369e-127
3 4 1.99369e-127
3 5 0.0923215
3 6 5.20909e-13
3 7 1.28041e-15
4 1 2.36527e-13
4 2 0.0590606
4 3 7.25254e-128
4 4 7.25254e-128
4 5 0.0590606
4 6 2.36527e-13
4 7 5.25279e-16
5 1 1.13154e-13
5 2 0.0401151
5 3 2.76924e-128
5 4 2.76924e-128
5 5 0.0401151
5 6 1.13154e-13
5 7 2.2679e-16
6 1 5.57642e-14
6 2 0.0282101
6 3 1.08597e-128
6 4 1.08597e-128
6 5 0.0282101
6 6 5.57642e-14
6 7 1.00797e-16
7 1 2.80061e-14
7 2 0.0202886
7 3 4.32848e-129
7 4 4.32848e-129
7 5 0.0202886
7 6 2.80061e-14
7 7 4.56319e-17
8 1 1.42481e-14
8 2 0.0148201
8 3 1.74346e-129
8 4 1.74346e-129
8 5 0.0148201
8 6 1.42481e-14
8 7 2.09185e-17
9 1 7.31593e-15
9 2 0.0109484
9 3 7.07147e-130
9 4 7.07147e-130
9 5 0.0109484
9 6 7.31593e-15
9 7 9.6754e-18
