alpha s value
1 1 4.14657e-12
1 2 3.93673e-12
1 3 1.87372e-12
1 4 -1.87372e-12
1 5 -3.93673e-12
1 6 -4.14657e-12
1 7 -4.18041e-12
2 1 -5.50706e-13
2 2 -7.08185e-13
2 3 -2.02963e-13
2 4 -2.02963e-13
2 5 -7.08185e-13
2 6 -5.50706e-13
2 7 -5.04801e-13
3 1 1.49322e-13
3 2 2.6676e-13
3 3 4.45422e-14
3 4 -4.45422e-14
3 5 -2.6676e-13
3 6 -1.49322e-13
3 7 -1.23942e-13
4 1 -5.10552e-14
4 2 -1.28317e-13
4 3 -1.22848e-14
4 4 -1.22848e-14
4 5 -1.28317e-13
4 6 -5.10552e-14
4 7 -3.83035e-14
5 1 1.96405e-14
5 2 6.9954e-14
5 3 3.80521e-15
5 4 -3.80521e-15
5 5 -6.9954e-14
5 6 -1.96405e-14
5 7 -1.33054e-14
6 1 -8.11688e-15
6 2 -4.11599e-14
6 3 -1.26487e-15
6 4 -1.26487e-15
6 5 -4.11599e-14
6 6 -8.11688e-15
6 7 -4.96234e-15
7 1 3.52023e-15
7 2 2.54942e-14
7 3 4.40914e-16
7 4 -4.40914e-16
7 5 -2.54942e-14
7 6 -3.52023e-15
7 7 -1.94144e-15
8 1 -1.58057e-15
8 2 -1.63846e-14
8 3 -1.59044e-16
8 4 -1.59044e-16
8 5 -1.63846e-14
8 6 -1.58057e-15
8 7 -7.86155e-16
9 1 7.28462e-16
9 2 1.08266e-14
9 3 5.88684e-17
9 4 -5.88684e-17
9 5 -1.08266e-14
9 6 -7.28462e-16
9 7 -3.2671e-16
