alpha s value
1 1 4.69824e-12
1 2 0.455502
1 3 2.73778e-126
1 4 2.73778e-126
1 5 0.455502
1 6 4.69824e-12
1 7 1.4015e-14
2 1 1.24587e-12
2 2 0.163733
2 3 5.90368e-127
2 4 5.90368e-127
2 5 0.163733
2 6 1.24587e-12
2 7 3.37845e-15
3 1 5.05316e-13
3 2 0.0923724
3 3 1.92845e-127
3 4 1.92845e-127
3 5 0.0923724
3 6 5.05316e-13
3 7 1.2404e-15
4 1 2.29474e-13
4 2 0.0591186
4 3 7.0152e-128
4 4 7.0152e-128
4 5 0.0591186
4 6 2.29474e-13
4 7 5.08906e-16
5 1 1.09796e-13
5 2 0.0401769
5 3 2.67862e-128
5 4 2.67862e-128
5 5 0.0401769
5 6 1.09796e-13
5 7 2.19743e-16
6 1 5.412e-14
6 2 0.0282729
6 3 1.05043e-128
6 4 1.05043e-128
6 5 0.0282729
6 6 5.412e-14
6 7 9.76778e-17
7 1 2.71866e-14
7 2 0.0203503
7 3 4.18684e-129
7 4 4.18684e-129
7 5 0.0203503
7 6 2.71866e-14
7 7 4.42265e-17
8 1 1.3835e-14
8 2 0.0148793
8 3 1.68641e-129
8 4 1.68641e-129
8 5 0.0148793
8 6 1.3835e-14
8 7 2.02779e-17
9 1 7.10609e-15
9 2 0.0110041
9 3 6.84007e-130
9 4 6.84007e-130
9 5 0.0110041
9 6 7.10609e-15
9 7 9.38118e-18
