X Z
-3.14159 0.00113559
-3.12905 0.00113861
-3.11651 0.00113818
-3.10397 0.00114438
-3.09143 0.00114613
-3.07889 0.00115567
-3.06634 0.00116003
-3.0538 0.00117203
-3.04126 0.00118065
-3.02872 0.00119327
-3.01618 0.00120805
-3.00364 0.00122073
-2.9911 0.0012407
-2.97856 0.00125683
-2.96601 0.00127769
-2.95347 0.00130138
-2.94093 0.00132238
-2.92839 0.0013507
-2.91585 0.00137825
-2.90331 0.00140609
-2.89077 0.00144108
-2.87823 0.00147406
-2.86568 0.00150927
-2.85314 0.00155123
-2.8406 0.00159116
-2.82806 0.00163396
-2.81552 0.00168371
-2.80298 0.00173202
-2.79044 0.00178273
-2.7779 0.00184111
-2.76535 0.00189931
-2.75281 0.00195856
-2.74027 0.00202601
-2.72773 0.00209564
-2.71519 0.0021647
-2.70265 0.0022412
-2.69011 0.00232328
-2.67756 0.00240429
-2.66502 0.00248992
-2.65248 0.00258413
-2.63994 0.00267956
-2.6274 0.00277577
-2.61486 0.00288045
-2.60232 0.00299122
-2.58978 0.00310135
-2.57723 0.00321564
-2.56469 0.00333939
-2.55215 0.00346639
-2.53961 0.00359293
-2.52707 0.00372613
-2.51453 0.00386819
-2.50199 0.00401152
-2.48945 0.00415506
-2.4769 0.00430645
-2.46436 0.00446574
-2.45182 0.00462508
-2.43928 0.0047848
-2.42674 0.00495255
-2.4142 0.00512751
-2.40166 0.00530176
-2.38912 0.00547577
-2.37657 0.00565722
-2.36403 0.00584568
-2.35149 0.00603312
-2.33895 0.00621899
-2.32641 0.00641101
-2.31387 0.00661033
-2.30133 0.00680911
-2.28879 0.00700474
-2.27624 0.00720445
-2.2637 0.00741197
-2.25116 0.00762067
-2.23862 0.00782529
-2.22608 0.00803122
-2.21354 0.00824508
-2.201 0.00846324
-2.18845 0.00867824
-2.17591 0.00889179
-2.16337 0.00911215
-2.15083 0.00934058
-2.13829 0.00956962
-2.12575 0.009796
-2.11321 0.0100266
-2.10067 0.0102678
-2.08812 0.0105158
-2.07558 0.0107635
-2.06304 0.0110125
-2.0505 0.0112715
-2.03796 0.0115433
-2.02542 0.0118212
-2.01288 0.0121002
-2.00034 0.0123854
-1.98779 0.0126849
-1.97525 0.0129982
-1.96271 0.0133173
-1.95017 0.0136393
-1.93763 0.0139709
-1.92509 0.0143188
