X T Z
-3.14159 0 1
-3.12592 0 1
-3.11026 0 1
-3.09459 0 1
-3.07892 0 1
-3.06325 0 1
-3.04758 0 1
-3.03191 0 1
-3.01624 0 1
-3.00057 0 1
-2.9849 0 1
-2.96924 0 1
-2.95357 0 1
-2.9379 0 1
-2.92223 0 1
-2.90656 0 1
-2.89089 0 1
-2.87522 0 1
-2.85955 0 1
-2.84389 0 1
-2.82822 0 1
-2.81255 0 1
-2.79688 0 1
-2.78121 0 1
-2.76554 0 1
-2.74987 0 1
-2.7342 0 1
-2.71854 0 1
-2.70287 0 1
-2.6872 0 1
-2.67153 0 1
-2.65586 0 1
-2.64019 0 1
-2.62452 0 1
-2.60885 0 1
-2.59318 0 1
-2.57752 0 1
-2.56185 0 1
-2.54618 0 1
-2.53051 0 1
-2.51484 0 1
-2.49917 0 1
-2.4835 0 1
-2.46783 0 1
-2.45217 0 1
-2.4365 0 1
-2.42083 0 1
-2.40516 0 1
-2.38949 0 1
-2.37382 0 1
-2.35815 0 1
-2.34248 0 1
-2.32682 0 1
-2.31115 0 1
-2.29548 0 1
-2.27981 0 1
-2.26414 0 1
-2.24847 0 1
-2.2328 0 1
-2.21713 0 1
-2.20147 0 1
-2.1858 0 1
-2.17013 0 1
-2.15446 0 1
-2.13879 0 1
-2.12312 0 1
-2.10745 0 1
-2.09178 0 1
-2.07611 0 1
-2.06045 0 1
-2.04478 0 1
-2.02911 0 1
-2.01344 0 1
-1.99777 0 1
-1.9821 0 1
-1.96643 0 1
-1.95076 0 1
-1.9351 0 1
-1.91943 0 1
-1.90376 0 1
-1.88809 0 1
-1.87242 0 1
-1.85675 0 1
-1.84108 0 1
-1.82541 0 1
-1.80975 0 1
-1.79408 0 1
-1.77841 0 1
-1.76274 0 1
-1.74707 0 1
-1.7314 0 1
-1.71573 0 1
-1.70006 0 1
-1.6844 0 1
-1.66873 0 1
-1.65306 0 1
-1.63739 0 1
-1.62172 0 1
-1.60605 0 1
-1.59038 0 1
-1.57471 0 1
-1.55904 0 1
-1.54338 0 1
-1.52771 0 1
-1.51204 0 1
-1.49637 0 1
-1.4807 0 1
-1.46503 0 1
-1.44936 0 1
-1.43369 0 1
-1.41803 0 1
-1.40236 0 1
-1.38669 0 1
-1.37102 0 1
-1.35535 0 1
-1.33968 0 1
-1.32401 0 1
-1.30834 0 1
-1.29268 0 1
-1.27701 0 1
-1.26134 0 1
-1.24567 0 1
-1.23 0 1
-1.21433 0 1
-1.19866 0 1
-1.18299 0 1
-1.16732 0 1
-1.15166 0 1
-1.13599 0 1
-1.12032 0 1
-1.10465 0 1
-1.08898 0 1
-1.07331 0 1
-1.05764 0 1
-1.04197 0 1
-1.02631 0 1
-1.01064 0 1
-0.994968 0 1
-0.979299 0 1
-0.963631 0 1
-0.947962 0 1
-0.932293 0 1
-0.916624 0 1
-0.900955 0 1
-0.885287 0 1
-0.869618 0 1
-0.853949 0 1
-0.83828 0 1
-0.822612 0 1
-0.806943 0 1
-0.791274 0 1
-0.775605 0 1
-0.759936 0 1
-0.744268 0 1
-0.728599 0 1
-0.71293 0 1
-0.697261 0 1
-0.681592 0 1
-0.665924 0 1
-0.650255 0 1
-0.634586 0 1
-0.618917 0 1
-0.603248 0 1
-0.58758 0 1
-0.571911 0 1
-0.556242 0 1
-0.540573 0 1
-0.524905 0 1
-0.509236 0 1
-0.493567 0 1
-0.477898 0 1
-0.462229 0 1
-0.446561 0 1
-0.430892 0 1
-0.415223 0 1
-0.399554 0 1
-0.383885 0 1
-0.368217 0 1
-0.352548 0 1
-0.336879 0 1
-0.32121 0 1
-0.305541 0 1
-0.289873 0 1
-0.274204 0 1
-0.258535 0 1
-0.242866 0 1
-0.227197 0 1
-0.211529 0 1
-0.19586 0 1
-0.180191 0 1
-0.164522 0 1
-0.148854 0 1
-0.133185 0 1
-0.117516 0 1
-0.101847 0 1
-0.0861784 0 1
-0.0705096 0 1
-0.0548408 0 1
-0.039172 0 1
-0.0235032 0 1
-0.0078344 0 1
0.0078344 0 1
0.0235032 0 1
0.039172 0 1
0.0548408 0 1
0.0705096 0 1
0.0861784 0 1
0.101847 0 1
0.117516 0 1
0.133185 0 1
0.148854 0 1
0.164522 0 1
0.180191 0 1
0.19586 0 1
0.211529 0 1
0.227197 0 1
0.242866 0 1
0.258535 0 1
0.274204 0 1
0.289873 0 1
0.305541 0 1
0.32121 0 1
0.336879 0 1
0.352548 0 1
0.368217 0 1
0.383885 0 1
0.399554 0 1
0.415223 0 1
0.430892 0 1
0.446561 0 1
0.462229 0 1
0.477898 0 1
0.493567 0 1
0.509236 0 1
0.524905 0 1
0.540573 0 1
0.556242 0 1
0.571911 0 1
0.58758 0 1
0.603248 0 1
0.618917 0 1
0.634586 0 1
0.650255 0 1
0.665924 0 1
0.681592 0 1
0.697261 0 1
0.71293 0 1
0.728599 0 1
0.744268 0 1
0.759936 0 1
0.775605 0 1
0.791274 0 1
0.806943 0 1
0.822612 0 1
0.83828 0 1
0.853949 0 1
0.869618 0 1
0.885287 0 1
0.900955 0 1
0.916624 0 1
0.932293 0 1
0.947962 0 1
0.963631 0 1
0.979299 0 1
0.994968 0 1
1.01064 0 1
1.02631 0 1
1.04197 0 1
1.05764 0 1
1.07331 0 1
1.08898 0 1
1.10465 0 1
1.12032 0 1
1.13599 0 1
1.15166 0 1
1.16732 0 1
1.18299 0 1
1.19866 0 1
1.21433 0 1
1.23 0 1
1.24567 0 1
1.26134 0 1
1.27701 0 1
1.29268 0 1
1.30834 0 1
1.32401 0 1
1.33968 0 1
1.35535 0 1
1.37102 0 1
1.38669 0 1
1.40236 0 1
1.41803 0 1
1.43369 0 1
1.44936 0 1
1.46503 0 1
1.4807 0 1
1.49637 0 1
1.51204 0 1
1.52771 0 1
1.54338 0 1
1.55904 0 1
1.57471 0 1
1.59038 0 1
1.60605 0 1
1.62172 0 1
1.63739 0 1
1.65306 0 1
1.66873 0 1
1.6844 0 1
1.70006 0 1
1.71573 0 1
1.7314 0 1
