T Value
0 -8.88178e-16
0.0124688 -8.88178e-16
0.0249377 -2.66454e-15
0.0374065 -2.66454e-15
0.0498753 -7.99361e-15
0.0623441 -1.77636e-14
0.074813 -2.66454e-14
0.0872818 -4.17444e-14
0.0997506 -5.24025e-14
0.112219 -6.83897e-14
0.124688 -7.90479e-14
0.137157 -9.50351e-14
0.149626 -9.50351e-14
0.162095 -8.26006e-14
0.174564 -7.63833e-14
0.187032 -6.57252e-14
0.199501 -6.30607e-14
0.21197 -6.12843e-14
0.224439 -6.75016e-14
0.236908 -7.81597e-14
0.249377 -8.79297e-14
0.261845 -8.9706e-14
0.274314 -1.00364e-13
0.286783 -1.14575e-13
0.299252 -1.20792e-13
0.311721 -1.27898e-13
0.32419 -1.23457e-13
0.336658 -1.23457e-13
0.349127 -1.35891e-13
0.361596 -1.40332e-13
0.374065 -1.47438e-13
0.386534 -1.53655e-13
0.399002 -1.56319e-13
0.411471 -1.49214e-13
0.42394 -1.53655e-13
0.436409 -1.55431e-13
0.448878 -1.54543e-13
0.461347 -1.59872e-13
0.473815 -1.55431e-13
0.486284 -1.62537e-13
0.498753 -1.64313e-13
0.511222 -1.62537e-13
0.523691 -1.50102e-13
0.53616 -1.72307e-13
0.548628 -1.68754e-13
0.561097 -1.68754e-13
0.573566 -1.69642e-13
0.586035 -1.74083e-13
0.598504 -1.66089e-13
0.610973 -1.82077e-13
0.623441 -1.78524e-13
0.63591 -1.81188e-13
0.648379 -1.81188e-13
0.660848 -1.85629e-13
0.673317 -1.84741e-13
0.685786 -1.88294e-13
0.698254 -1.93623e-13
0.710723 -1.98952e-13
0.723192 -1.9007e-13
0.735661 -1.84741e-13
0.74813 -1.92735e-13
0.760599 -1.803e-13
0.773067 -1.95399e-13
0.785536 -1.98952e-13
0.798005 -1.90958e-13
0.810474 -1.82077e-13
0.822943 -1.803e-13
0.835411 -1.88294e-13
0.84788 -1.87406e-13
0.860349 -1.81188e-13
0.872818 -1.93623e-13
0.885287 -1.87406e-13
0.897756 -1.803e-13
0.910224 -1.84741e-13
0.922693 -1.84741e-13
0.935162 -1.82965e-13
0.947631 -1.81188e-13
0.9601 -1.84741e-13
0.972569 -1.72307e-13
0.985037 -1.83853e-13
0.997506 -1.92735e-13
1.00998 -1.89182e-13
1.02244 -1.89182e-13
1.03491 -1.86517e-13
1.04738 -1.89182e-13
1.05985 -1.94511e-13
1.07232 -1.803e-13
1.08479 -1.84741e-13
1.09726 -1.79412e-13
1.10973 -1.86517e-13
1.12219 -1.89182e-13
1.13466 -1.85629e-13
1.14713 -1.82965e-13
1.1596 -1.85629e-13
1.17207 -1.82077e-13
1.18454 -1.83853e-13
1.19701 -1.85629e-13
1.20948 -1.75859e-13
1.22195 -1.91847e-13
1.23441 -1.84741e-13
1.24688 -1.85629e-13
1.25935 -1.89182e-13
1.27182 -1.90958e-13
1.28429 -1.90958e-13
1.29676 -1.82077e-13
1.30923 -1.86517e-13
1.3217 -1.82077e-13
1.33416 -1.88294e-13
1.34663 -1.92735e-13
1.3591 -1.89182e-13
1.37157 -1.91847e-13
1.38404 -1.78524e-13
1.39651 -1.81188e-13
1.40898 -1.85629e-13
1.42145 -1.87406e-13
1.43392 -1.87406e-13
1.44638 -1.81188e-13
1.45885 -1.82077e-13
1.47132 -1.86517e-13
1.48379 -1.77636e-13
1.49626 -1.83853e-13
1.50873 -1.82965e-13
1.5212 -1.9007e-13
1.53367 -1.75859e-13
1.54613 -1.82077e-13
1.5586 -1.89182e-13
1.57107 -1.76748e-13
1.58354 -1.78524e-13
1.59601 -1.77636e-13
1.60848 -1.78524e-13
1.62095 -1.73195e-13
1.63342 -1.7053e-13
1.64589 -1.73195e-13
1.65835 -1.66978e-13
1.67082 -1.67866e-13
1.68329 -1.7053e-13
1.69576 -1.68754e-13
1.70823 -1.66089e-13
1.7207 -1.61648e-13
1.73317 -1.61648e-13
1.74564 -1.68754e-13
1.7581 -1.64313e-13
1.77057 -1.59872e-13
1.78304 -1.62537e-13
1.79551 -1.56319e-13
1.80798 -1.53655e-13
1.82045 -1.51879e-13
1.83292 -1.56319e-13
1.84539 -1.54543e-13
1.85786 -1.42997e-13
1.87032 -1.42109e-13
1.88279 -1.35003e-13
1.89526 -1.43885e-13
1.90773 -1.35003e-13
1.9202 -1.33227e-13
1.93267 -1.3145e-13
1.94514 -1.29674e-13
1.95761 -1.27898e-13
1.97007 -1.3145e-13
1.98254 -1.28786e-13
1.99501 -1.2168e-13
2.00748 -1.19016e-13
2.01995 -1.19904e-13
2.03242 -1.20792e-13
2.04489 -1.19904e-13
